用户名,评论时间,评论内容,评分,赞同数,情感
春日小牧,2022/7/16 17:37,设定不伦不类，故事乱七八糟，情感推动强硬又尴尬，超低龄的幼稚梗让我笑不出又看的很不耐烦。打着第一部星际科幻片，结果快结束了连地球都没出去。建议小学6年级以下人员观看，并且别再说自己是彩条屋出品了，让人更无语，第一次在电影院没看到最后就忍不住离场了,10,56,0
Nujabes.,2022/12/23 14:24,没了刘北的《星游记》，从本质上来说也就不是星游记了,30,0,1
楚天舒,2022/7/16 19:44,“献给每一个还在傻傻坚持梦想的你”，彩蛋不值得等。,40,69,1
亵渎电影,2022/8/15 15:06,国产动画电影继续死于剧本太烂，后半段的常识bug看得脑仁疼。,20,6,0
海月梦香,2022/7/16 12:12,近年难得的国产高质量二维动画电影，虽然使用了不少三渲二，但总体效果算是比较流畅的，达到了院线作品该有的水准；剧情和人物性格基本和原作没啥关系，这点倒是上映前就打了预防针，所以能接受，光论电影本身还是很燃的，对于高潮情节的处理也很巧妙，总体值得一看。,40,68,1
Crazy Ivan,2022/7/17 20:36,星光  画风还不错，感觉3D没必要，剧情虽然中二也算过得去。,30,16,1
鬼腳七,2022/7/26 22:47,比预想好多了。两次逃出时候被导弹追击的马戏设计虽然有点简朴，但是也看得出来尽力了。主演问题还是角色和情节上的，坚持延续已有人物和设定必然会导致新世界观展开不够和牵绊太多，还是看导演取舍吧。,30,3,1
蓝抑郁剂Lily??,2022/7/17 15:41,剧情超燃！喜欢这种无所畏惧的热血少年的故事，看到放风筝那一段真的戳我泪点了。看完觉得很惊喜，能感受到制作组的用心。,40,35,1
Panda的影音,2022/8/27 22:40,非《星游记》粉，但此前的两部《星游记之风暴法米拉》都有看，因而也来看下这部《冲出地球》：1.曾经《星游记》动画剧集让我看到《海贼王》的影子，而这部《冲出地球》里未来科幻与古风建筑/服饰/造型等的结合则有些《银魂》的感觉；2.专业水准的配音比动画本身更让我满意；3.还以为那首同名态度曲会被弃用？结果还是有当插曲和片尾曲，不过查看片尾字幕，其“词/曲/演唱/制作”者倒是预料之中地改名了；……,30,0,1
обломов,2022/8/14 14:46,画风吉卜力，人设银他妈，欺负广电审查时代的小孩没见过世面？？？,20,1,0
火娃,2022/10/25 0:01,5/10。银河眼炮塔的白色金属质四角星形状，天墙升起时两条发光的机械长龙，高潮部分碎片下落的浓密感、导弹在满天风筝中横冲直撞爆炸的特效，令人联想到日漫常见的毁灭性打斗场面，就连反派的日风造型和暴走行为，都神似日漫。而本作的角色设定也打上了流水线日漫的烙印，口含棒棒糖即可变身鸡贼大叔的萌兔，父母没影有妹有房的主角骑着摩托穿梭于闹市送外卖，隔壁是凶悍阿姨，自己单凭相信奇迹能无中生有弄出像拉面一样伸缩自如的流星捶，这种具有反差感的变身设定、司空见惯的主角状态，即使作为路人观众也觉得缺乏充分的感受。如此显性的日式特征，让结合了北京鼓楼、龟形石雕、十二生肖钟鼓盘等国风建筑的背景描绘，变成了日本动画里中华街一般偏向异域风情的存在。除了蜜蜂形飞船模仿地球的导航语音，本土化共鸣非常弱，陷入了奇观效应的叙事困境。,20,5,0
海边的曼彻斯特,2022/8/14 14:17,《星游记》原作实在是可惜，多年以来都没有正统续集，这部同人电影作为独立电影来说还行，算不上很好看，燃点都建立在星游记的基础上，剧情却比不上星游记，老粉最有感触的就是再飞行和几句经典台词了。,30,3,1
kinder23,2022/8/14 22:19,很努力啊，但就是比较适合电视放吧，电影来说，它很吵很闹，人物都不合情理啊。,20,1,0
momo,2022/10/6 16:58,虽然禁海令、“为了你们的安全”和大炼钢铁令人会心 但外大气层跳滑翔机、手工打造宇宙飞船、徒手抠核反应堆这个事……真是用大炼钢铁打败大炼钢铁了,30,1,1
龙皇,2022/8/15 12:08,动画效果一般，有些剧情太儿戏，两人匆忙上飞船，不作任何准备就想探险宇宙，结果差点当炮灰，居然还生存了下来。,30,0,1
发呆中,2022/9/26 20:35,2019-09-29想看。还没看原ip星游记。背景设定挺有趣的。但是人物感情处理得不够细腻显得除了男主其他人都不过是工具人，不够热血也不够科幻，配音差点火候，人物形象设计比较普通无亮点，中华要素过多显得十分刻意和做作，一个无人机你说有必要中间还要加个灯笼上去吗？搞那么繁琐，科学不是应该把事物变得简单吗？整体很平淡无趣的动画，要不是国漫，我根本不会坚持看下去。两星半,30,0,1
fallingraining,2022/8/22 0:18,还真是儿童片，那导弹打风筝,20,1,0
Christian,2022/7/16 10:37,电影版确实回不到以前星游记的样子，但我也很难违背良心说电影有多不好。星游记是初心，冲出地球也打动了我。不管生活有多少波折，我没忘记自己也曾一腔热血的模样。,40,56,1
一杯柠檬茶,2022/7/19 11:24,"完成度，作画，大场面执行的还不错，虽有中二感和超出常理的设定（比如风筝），但还是清楚的讲出了这个故事。笑点和泪点都不是很尴尬，特别是小兔子还蛮可爱的。怎么越来越像一对？＃2022院线18,评分：6.5/10。",30,1,1
小植野,2022/7/18 16:09,【B—】国产科幻惊喜之作，后半部分比前面好很多。一开始以为只是普通的少年追梦故事，虽然到最后也是说献给每一个追梦的你。但是在普通的追梦故事之外讲了太多东西，有科幻有亲情有阴谋有阳谋。全心全意付出的地球公民被当成实验小白鼠肆意利用，而利用他人的当权者也不过是更大的棋子，风筝的升起堪称《雄狮少年》里结尾的神来之笔，口口声声推行的禁飞是计划一环，飞行的梦想是抵挡不住的烈火，和父亲的回忆与羁绊浇灌决心，冲破枷锁的束缚，摆脱镣铐的桎梏，冲出地球就是梦想的模样。,40,9,1
momo,2022/12/29 19:15,山寨了山寨海贼王的动(天)画(坑)，2D好评，如果是原创就更好了,30,0,1
玩儿少,2022/7/24 15:24,彩条屋首部科幻动画，各方面都没有做的特别好，平平无奇,30,0,1
国王KING,2022/7/16 18:41,不论结局，去过想要的人生。,40,27,1
一只特特呦,2022/7/18 22:08,"TV故事改版，与原作关系不大，胡一泊这是要拍成系列电影捞钱？
2D动画非要做成3D，结果场景全都像分层的纸片，人物角色在不同角度下也很违和。
为了符合市场口味，加入很多科技感元素，从改编的角度看还不错。
当再出发的前奏响起，当麦当大声喊出那句中二的口号，一切的感觉都回来了，我们曾经遗忘的飞向彩虹海的追求！",30,11,1
快乐闲人,2022/7/16 11:04,电影院里好多男生啊，男孩子更喜欢吧。以前都是男朋友陪我看爱情片，现在也陪他看喜欢的热血漫，比想象中要好。,40,37,1
Rita,2022/9/26 22:48,兔子咕咚挺帅的,30,0,1
焦糖爆爆D,2022/7/16 23:03,意外地好。燃点和笑点都不尬了，情节铺垫合理，层层推进，反转有理有据，这碗热血鸡汤我干了。可盐可甜的兔子国王配角人设亮眼，honey bee全场搞笑担当。国风赛博是个可以成为影视国潮的方向。,40,32,1
臻圣,2022/8/15 22:38,过了看这种简单、直白动画的年龄，毫无共情。,20,0,0
要加油！！！,2022/7/16 10:47,就冲着二维作画这点，必须支持。特意挑了好一点的电影院，音乐和画面，太值得了。机甲对战和最终BOSS的战斗场面都很够味，二维才是动画的灵魂！现在都去做三维了，不知道以后还能看到几部二维的，真的是且看且珍惜了。,40,24,1
miss z,2022/8/31 9:06,还不错的 挺热血的 可以看看,30,0,1
無有松雾,2022/7/17 10:27,几个战斗场面挺燃的。超过10岁的话，可以不用看了。,20,16,0
百亩地,2022/8/23 17:41,"胡一泊就算了
哈哈，之前是星游记之冲出地球，现在把星游记都撤掉了，真就成同人了
撤档了........不言而喻",20,8,0
豆瓣路人己,2022/8/15 15:10,一个概念，如果真的好，前期预期和宣传，绝对用力砸了,20,0,0
Spy Liu??,2022/11/14 1:14,概念有，执行起来的剧本依然比较糟糕,20,0,0
苏小妹,2022/8/20 16:52,原来是星游记的衍生版，还没有看过星游记，不过兔子看着很眼熟，热血就好。,30,0,1
假迷影真胖叔,2022/7/18 13:03,3.5。1.类似EVA TV版与剧场版，当年《星游记》也是如此，作为自己当年曾经的敲门砖，被魔改成这样也在可接受可理解范围内。2.麦当手环的来历不去交代也意味着被负载的勇气与责任失去了依托，再热血与燃也会让人觉得假。3.小女孩的人设是为了出现女性角色而硬塞进去。4.从救个人到救地球，真正完成角色弧光的反而是咕咚，即使剧本完成度很生硬。麦当最大的问题就是没有弧光可写，电影版也没有解决这个大问题，5.断手、光剑是赤裸裸抄《星战》，银河眼的大机械装置是EVA使徒，反派不仅没有气场也不够坏，是大败笔。蓝眼大人也一样。,40,7,1
黑色大丽花,2022/7/29 19:41,赶在最后一天午夜场看完了《冲出地球》。幸亏我在B站看了几集番剧直播，才知道兔子陛下，搞清了人物关系。这是电视版《星游记》的前传吗？我觉得吧，画面不错，但是剧情羸弱，比较俗套，故意加入爸爸的刀。拉面流星锤，这招请你不要再用了，不是番剧粉丝，看着很尬。还有后期转制3D很多余，纯粹为了每张票多赚几块钱。出品方有点没搞清市场要什么。最好把赚的1000万票房，用来继续做番剧。还好并没有包场，在佳兆业，总共五个人看，两个男的还离场了。,40,0,1
川????,2022/8/24 22:48,"看过剧版再看这总觉得各种不对劲，一切都变味了。胡一泊很擅长对画面细节的构想，他能把一块拼图的形状作得很花，但没有足够好的故事穿起来，碎片的拼图就难拼，割裂感就凸现了，同样都有鸡汤般的台词，剧版就看的人热泪盈眶，就是有故事的感动。剧版冲出地球前有最感动的哈林兄弟才有最热血的大傻瓜。这个项目一开始的构想就不对，影版就不该重启剧版，费力不讨好，还用《再飞行》？这首歌是和剧版绑定了，影版也好意思。宣传居然还说制作6,7年，明明是和法1法2同步制作，3部电影根本忙不过来，拿法2经典三渲二放电影里都对不起“一吨手稿”的噱头。胡一泊的团队已经自我感动到偏执的地步了吗？",20,3,0
飞龙谷喂猴儿呢,2022/7/16 16:33,节奏拉跨，情绪全靠音乐堆，当时就想着一星给音乐，好家伙看到片尾原来是一堆上过乐夏的人写的。顶着国漫的帽子画着日漫的风格讲着漫威的故事，你那大手镯子突然开挂还能再恶心一点儿吗？？？,10,22,0
热情华夫饼,2022/7/17 19:51,不是很星游记，除了两三个设定和人物来自原作以外可以说是毫无关系；然而也不是反乌托邦，表面上的几个看起来很反体制的元素完全没能和核心的正邪对抗相结合，最终只是个有点燃但很俗套的中二故事。不过比较没想到的一点是，福禄寿唱的片尾曲没被删。,20,9,0
月光下的轻骑兵,2022/7/21 22:08,导演接着哭啊，继续发短视频也没用…,10,27,0
歹喜虎,2022/8/17 1:05,说不上来，就感觉人物缺少细节，一些画面好像掉帧卡顿，整个故事就像幼儿园的扯皮，天马行空出的幼稚。,20,0,0
杨三疯,2022/8/18 21:35,纯日式汉化版的样子，只有中国符号，根本找不到中式风格，定位人群很尴尬就是那种三年级看不懂四年级懒的看感觉。,20,0,0
披着人皮的鬼,2022/9/16 15:04,国风假国风 科幻假科幻 但中二是真中二 创作思路也大概是中二水平 技术很成熟是真的,30,0,1
rainforest,2022/7/19 13:54,不好看，但至少剧情上比《法米拉2》好一点点，推翻了之前的大多数设定，打着彩虹海的幌子，实则拯救地球，整体归于俗套。也不中国风也不科幻，有些台词和桥段欠打磨，麦当看见被辐射变成僵尸的人而改变想法那一段差点笑场，结尾高潮空中打斗段，麦当无端开挂配着鹰眼芸豆一直在地面解说实况，真的很跳戏。父子互动情节只适合六岁左右观看。如果说《星游记第一季》是少年向，那么《冲出地球》算是儿童向。,20,5,0
zeroasd123,2022/7/17 15:26,本想夸一下国产二维动画终于跟上国际主流水平达到了最起码能算“动漫大片”的阶段，但是片尾staff表里日本四度工作室作为排行第一位的出现直接让我心里凉了小半截。其实我也懂这片子集齐了国内各动画公司的好手，也算现在的扛鼎之作了，但是果然还是想看看更纯粹的本土动画电影。说到这点，这作本地元素的运用其实很尴尬，不管是路人的长袍马褂还是女主的包子头，亦或者是强行出镜的地动仪，我从其中感受到的不是所谓的中国风，而是这几十年来外国对我国文化刻板印象的大集合，大概主创也不懂怎么恰当而含蓄地讲述真正的中国故事。所以连带着整部片子从反派要炸地球开始就走向彻底失控，后面一波又一波的炸炸炸都是过往经典日本热血漫的套路集合，我无法感动，甚至只剩下疲倦。可能再飞行这首歌的插入算是唯一的亮点吧，可惜了当初的星游记了。,30,15,1
一一,2022/8/19 22:40,导演不应该在影院里哭排片，应该去给他中学物理老师跪下来道歉～,10,8,0
Orbiu,2022/10/15 21:04,除了剧情，其他都还可以。可是已经变味的剧情，有看的必要吗？,10,0,0
传说北美狗鱼,2022/9/9 14:15,"剧本稀烂，占一半锅。两个爹携手拯救地球，两个小屁孩也要拯救地球，这么多科研机构和政府军队都隐形了，靠两个毛都没长齐的小屁孩拯救地球，每次看到这种桥段都想喊RNM退钱！
剩下一半锅归配音。国内声优大抵和演员一样，只待在自己的舒适圈，对专业领域完全没概念，所以配什么都是奶声奶气。
事已至此，美术、特效是好是坏都已经不重要了。",20,1,0
琧婯,2022/8/17 1:35,人家开头就说了来自昂撒星系的银河眼，就冲着操北约给加一颗星哈哈，只要是星游记相关的我觉得都是可以看的，热血漫挺好的,40,2,1
Riobluemoon,2022/8/19 22:40,7分。作为国产动画来说还是可圈可点的，作为完全没看过关联作品的路人来说，整体的情节设计还算过得去。形象上略微有些脱戏，总感觉人设似乎是几个人同时在做，相互之间有点相冲。背景设计上的中国风不太好，有些不伦不类可惜了。随便看看也还过得去吧。。。。,30,0,1
落木Lin,2022/8/20 22:25,"甚至联想到了殖民统治？
据说是星游记的番外整合篇，星游记无疑是国漫经典，但是《冲出地球》就让人感到只有热血，动作特效很撞目，燃倒是燃起来了，可是燃完之后没剩下什么东西，灰烬之下没有黄金。
大家确实看个乐呵，娱乐休闲还是推荐的哈。",30,0,1
伊夏??,2022/7/16 11:42,有Bug但我还是长大了嘴巴流出了眼泪??。这是现在可以看到的国漫表达的极限了吧？当然还会期待不思凡期待其他，但这部作品的太多情节实在是过于冲击我……,40,13,1
隔壁老张,2022/9/25 0:38,有点中二，强行热血，硬伤太多，勉强凑合,30,0,1
伊心,2023/1/30 2:21,我觉得如果不和《星游记》联系在一起，单看这部的故事，还真要好与不少动画电影,30,0,1
鹿鞭野餐,2022/12/27 19:40,有点儿不太乖的想法，但不多。,20,0,0
王小奋,2022/10/18 23:13,这啥……,30,0,1
大作人家王書紀,2022/8/16 10:38,不做这么幼稚，恐怕会让它们看出来 —— 冲出简中吧，如果还有理想,30,1,1
要瘦要瘦要瘦,2022/7/17 11:46,原著没看过，但是画面确实够震撼，笑点也可以，要热血有热血，要泪点有泪点，虽然3D画面有点暗，但可以感觉到主创真的很认真，有排片还是建议去看的。,50,36,1
Bryan·Mai,2022/11/8 9:55,融合了一堆上世纪日漫和好莱坞科幻设定，用二次元式的大吼大叫推动剧情输出观点，简直是对新十年假面骑士商业模板的高度概括啊！可能是真的审美疲劳了，久经沙场的耳朵已经无力消受这种用分贝硬推的“燃”。,20,1,0
拜拜白白掰掰啊,2022/7/17 9:31,"小孩看不懂,成年人已经看腻了。",20,8,0
醋海带,2022/7/23 14:16,三星半 是那种比较传统的画风 所以3D其实完全没必要 故事挺流畅的 细节处理的也不错 可以一看 ps 应该会有续集,40,2,1
听影客,2022/12/1 21:01,是真不好看。,20,0,0
光影一路同行,2022/8/28 23:58,ip商业价值过分估高，团队扎在自己世界里，呕心沥血也错付了。也不知道自己做什么，硬科幻伪装，中二热血打底？画风就未曾做到协调，精致的世界观场景搭配粗线条纸片人，怎么能和谐。一部大电影设定又不独立，像无根之水。不至于看不懂，只是无味，甚至疑惑为什么要做这样一部电影，只能是自我感动,20,1,0
LEO LIU 一舟,2022/8/17 21:08,怎么国内这么多没才华的导演啊，看得一直想快进,10,2,0
真不是我没6,2022/8/29 0:17,还是那个观点，国漫的问题不在于作画和特效，在于好好讲故事。,30,1,1
抛掉奶盖上街去,2022/8/17 21:40,比莫扎特强点，没了,20,0,0
一桶猫,2023/2/7 23:31,所以国产动画到底能不能讲好讲顺一个故事？？设定不错 拍出来又中二又低龄 模仿痕迹很重,20,0,0
伯儀,2022/8/16 19:49,刚开始剧情我以为是在看《恶童》，之后又回归到英雄主义的堂吉诃德“组合”。拯救世界的戏码，但是总觉得出戏得厉害。可能总觉得不合理和画蛇添足，节奏很奇怪，可能不适合成年人观看？,20,0,0
凝羽飞,2022/8/17 1:19,第一感觉是镜头太晃了，眼睛受不了。成人热血漫，不太适合小朋友。因为没有看过《星游记》就更没法去评价电影版和动画的关联，看评价很多的争议都在这里。整个故事里最重要的手环有点没头没尾，为啥它有这能力，只说是父亲留给主角的。科幻类的重心难道不是科技不是飞船不是机甲吗？这里一个凡人肉胎在瞎战斗些什么鬼？风筝就更离谱了，稍微有点常识都知道风筝飞不了这么高，还去吸引导弹。最致命的还有画风的不统一，一边美漫一边国风，咱能在一个频道叙事吗？,20,0,0
豆友207087634,2022/7/17 6:20,热血之后，留不下什么了,30,7,1
大隐于是,2022/8/18 23:36,锦鲤的配音有点可爱。,30,0,1
尘野,2022/9/3 19:36,这取向也太低幼中二了。感觉看完了智商会变低。,10,1,0
匣中猫,2022/7/16 22:09,外包给S4C的动画质量中等偏上，虽然肯定比不上扳机啊啥的，但中间晃神以为自己在看《天元突破》，虽然弄不懂这种2D动画干嘛硬要做个3D，但这样就已经很感动了……而坐在旁边的观众感觉也是《星游记》死忠，虽然散场就在吐槽，但是听实时观看反馈，那应该是同样的“被死去的记忆攻击”……的感觉。美术风格莫名感觉有点《二之国》的影子，故事本身其实也就那样，女主半路下线换了个furry(误)大叔来做CP也是比较常见(?)的少年漫商业套路，但是在当下确实不得不会有别样的解读。就还是蛮怀旧的一次体验，加上情怀分的话其实可以打上5星。,40,7,1
深水怪,2022/7/24 14:38,不好看,30,1,1
八脚鱿鱼,2022/8/19 20:33,第一段旁白就让我很想吐槽，很厉害的飞船制造技术，然后陨石雨把地球灭了……既然技术发达，还烂防守？再者，当太阳系里其他星球的引力是零啊？故事也不怎么行，这么容易愚弄大众，哪来的盲目崇拜和听从？男主的手镯bug级别，无法言语形容……动画水平还可以，另外不要强制插背景音乐，拉低水平。,20,0,0
爱丽丝梦魇,2022/7/23 23:50,货比货得扔，跟昨天看的莫扎特相比这简直洗眼睛了，但是bug依旧很多，而且说是赛博朋克，其实是废土加上一大堆奇奇怪怪的设定，很诡异的世界观，但是谁能拒绝一只能变身成金发帅哥的兔子呢,30,0,1
不在焉,2022/7/16 17:44,"3D效果相当不错??

期待一下星游记第二季??",30,4,1
太公二,2022/12/29 6:47,制作精良，打斗戏份的剪辑凌厉顺畅，而且片中有很多国风元素，节奏也可以，这是部难得的好看的国产平面动画。期待第二部,30,0,1
三色堇紫,2022/7/20 3:44,热血的童话，激情的战斗，不死的灵魂，不灭的信念。一场惊险刺激的激情战斗，释放了积攒已久的压抑情绪，一次义无反顾的冲破天际，是少年内心深埋了十年的信念之源。前半段略显平淡，后半段热血澎湃，在不经意间灌输鸡汤的故事当中，充满了让人意想不到的笑料，可能是我看的国漫太少，总会因为影片里人物一个莫名其妙的举动而不自觉的嘴角上扬，总体来说既热血又搞笑，一次意料之外且酣畅淋漓的观影体验，我也终于有点喜欢上了这种国风赛博朋克的风格，能在影院看到让人如此热血澎湃的国产动漫，确实是难能可贵的。全片最感兴趣的几个部分：男主手中无所不能的“如意金箍棒”，机器老头手臂上可拆卸的“聚能炮”，以及兔子国王驾驶装载了人工智能的宇宙飞船honey bee。,40,3,1
这是一碗麦面,2022/8/20 20:54,作为一部商业电影，倒也没有那么差，但作为星游记的续作，真的不行！第一季的厉害之处被丢的一干二净……第一季没有那么完美，他之所以令人难忘，是在于沉稳的娓娓道来的故事，在于鲜活的真实的角色塑造，在于特立独行的美术风格，在于张弛有度的节奏、极具冲击力的镜头，在于向优秀前辈不断的学习和尝试……而不是什么4K高清画面，那些胡乱堆砌的杂乱无章细节，和六年一吨动画纸。,30,0,1
fly,2022/9/26 14:42,真的无趣,20,0,0
JoJoLa,2022/8/14 19:20,这个画风我还以为不会是低幼动画呢,20,0,0
无为而治,2022/8/18 21:28,不够带劲，而且画风镜头有点奇怪。完全踩不中我的燃点，对我来说很普通。,30,0,1
穆雨楠,2022/7/23 11:32,设定和立意都很棒！不过有一段简直复刻恶童的建筑场景，以为穿越片场了。,30,0,1
coma,2022/9/2 2:34,还蛮不错的 虽然硬伤也有一些，不过确实挺不错的,40,0,1
迷糊,2022/7/25 8:23,很热血，很中二。古早的日漫剧情，杂乱的中国元素，孩子看门槛有点高，大人看又有点幼稚，国产动画继续加油吧,30,0,1
大横扫,2022/7/16 23:29,"十年后在电影院看星游记二创
直接相当于重制，很多设定全改了，但经典台词又要拉出来溜一遍，还行吧，但是肯定远不如原版设定，大篇幅红魔鬼父爱设定把之前的神秘感全毁了，彩虹石也没有了，换成个莫名其妙全片不明所以的手环，让全片为数不多的发招也变得莫名奇怪
整了些讽刺桥段，墙呀宵禁呀炼铁啦横幅啦，算是优点吧，整个杀父考验舞台算是挺套路的
最后风筝全飞起来的画面还是很感动的，再飞行一出来就太玩赖了，第二遍我差不多全程跟唱
最后还未完待续，赶紧交给原导演好吧
这电影微博搜索实时想看个评价全是周深粉丝刷广场，无语",30,4,1
Damaged Goods,2022/7/16 12:17,好久没看到二维动画了，愿意做个有点复古又大科幻设定的还挺不容易，老百姓一起放风筝社会主义朋克风哈哈哈。讲故事水平还是国漫普通水平，到后面觉得燃累了,30,6,1
木·子鱼,2022/7/24 14:28,扯了,30,0,1
爱丽丝梦魇,2022/7/23 23:50,货比货得扔，跟昨天看的莫扎特相比这简直洗眼睛了，但是bug依旧很多，而且说是赛博朋克，其实是废土加上一大堆奇奇怪怪的设定，很诡异的世界观，但是谁能拒绝一只能变身成金发帅哥的兔子呢,30,0,1
不在焉,2022/7/16 17:44,"3D效果相当不错??

期待一下星游记第二季??",30,4,1
太公二,2022/12/29 6:47,制作精良，打斗戏份的剪辑凌厉顺畅，而且片中有很多国风元素，节奏也可以，这是部难得的好看的国产平面动画。期待第二部,30,0,1
这是一碗麦面,2022/8/20 20:54,作为一部商业电影，倒也没有那么差，但作为星游记的续作，真的不行！第一季的厉害之处被丢的一干二净……第一季没有那么完美，他之所以令人难忘，是在于沉稳的娓娓道来的故事，在于鲜活的真实的角色塑造，在于特立独行的美术风格，在于张弛有度的节奏、极具冲击力的镜头，在于向优秀前辈不断的学习和尝试……而不是什么4K高清画面，那些胡乱堆砌的杂乱无章细节，和六年一吨动画纸。,30,0,1
Hitomi,2022/7/23 10:49,为了cv看的 总体质量不差 看完有回味 个人认为完全值回票价 片方比较穷几乎没有宣发 排片和上座都惨淡 四星鼓励一下吧 【p.s  疯批反派实在是我的大爱,40,3,1
JoJoLa,2022/8/14 19:20,这个画风我还以为不会是低幼动画呢,20,0,0
无为而治,2022/8/18 21:28,不够带劲，而且画风镜头有点奇怪。完全踩不中我的燃点，对我来说很普通。,30,0,1
仲夏星光,2022/8/15 19:55,"受众定位还是给小孩子看的吧，另外，作为一个科幻迷，一看到如此未来科技的背景之下，还靠冷兵器战斗，上蹿下跳的，就不由得尴尬和三如。对于诸如星战等等这种太空歌剧及其相关类别的伪科幻一直以来都不是很能接受，科幻在这里只是其中一个元素，真正讲得并不是科幻的故事。

凸显中国元素不是要复古，一堆亭台楼榭的复古建筑，一堆子丑寅卯甲乙丙丁的复古符号，这不符合人类文明发展规律。

ps:只看了一段就看不下去了，觉得有点浪费时间。",20,2,0
穆雨楠,2022/7/23 11:32,设定和立意都很棒！不过有一段简直复刻恶童的建筑场景，以为穿越片场了。,30,0,1
迷糊,2022/7/25 8:23,很热血，很中二。古早的日漫剧情，杂乱的中国元素，孩子看门槛有点高，大人看又有点幼稚，国产动画继续加油吧,30,0,1
逸动控股,2022/8/15 14:10,只会卖情怀了，就这样结束吧，别再浪费资源,20,0,0
大横扫,2022/7/16 23:29,"十年后在电影院看星游记二创
直接相当于重制，很多设定全改了，但经典台词又要拉出来溜一遍，还行吧，但是肯定远不如原版设定，大篇幅红魔鬼父爱设定把之前的神秘感全毁了，彩虹石也没有了，换成个莫名其妙全片不明所以的手环，让全片为数不多的发招也变得莫名奇怪
整了些讽刺桥段，墙呀宵禁呀炼铁啦横幅啦，算是优点吧，整个杀父考验舞台算是挺套路的
最后风筝全飞起来的画面还是很感动的，再飞行一出来就太玩赖了，第二遍我差不多全程跟唱
最后还未完待续，赶紧交给原导演好吧
这电影微博搜索实时想看个评价全是周深粉丝刷广场，无语",30,4,1
