用户名,评论时间,评论内容,评分,赞同数,情感
奥特曼,2023/3/3 20:13,依托答辩，友情提示，此断网非彼断网，冲片名去看的会大失所望。,20,162,0
anliangthu,2023/3/3 22:02,作为一个学计算机的，这电影有点侮辱我了,20,156,0
kakakarl,2023/3/3 20:11,为了省事，不涉及最后千方百计找真的大BOSS，直接安排了小BOSS把大BOSS杀掉，还被摄像头拍下来……一举多得。,20,136,0
誒嘿嘿教主,2023/3/4 1:05,林家栋的角色也太惨了，早知道这样，林家栋就应该伙同郭富城一起干庞老大！！！,50,11,1
银敏悲,2023/3/3 20:21,花钱买罪受，郑保瑞你是把剧本写了一半扔给一个三流导演去拍的吗？林家栋和郭富城看完都要一脸懵逼……,10,175,0
巴伐利亞酒神,2023/3/3 22:53,最新银幕爽片，题材独特，视效拉满，节奏飞起。单说把网络世界实体化的想法就是很不错的尝试，加上一贯好看的港味题材，是在用旧瓶装新酒，新旧都各有出彩。而且涉及到暗网，可以说是另一种意义上的“黑客帝国”。,40,11,1
韦斯安徒生,2023/3/3 21:47,武力值拉满的程序员，只身肉搏一车黑帮不在话下。智力值负分的警员，抓罪犯全靠听嫌疑人指挥。存在感为零的大反派，打了一天高尔夫香港翻天了都没人通知他，然后就被小反派发了盒饭。不知所谓的小反派，脸上写着衰，命里带着惨。,20,73,0
大上海红牡丹,2023/3/3 20:26,和断网半毛钱关系都没有，戏里各种蠢，戏外对观众才是上演了一出高级诈骗，啧啧！,10,130,0
凯文·史派东,2023/3/3 20:16,除了心疼票钱，没有带给我任何感官冲击，香港犯罪电影的路越走越窄了。,10,129,0
大浩Colen,2023/3/3 20:02,这个将病毒入侵和敲代码统统可视化的设定，是真的无聊啊……,10,90,0
余生有假期,2023/3/4 14:39,最有趣的莫过于将看不见摸不着的网络可视化成为森林，这个设定实在是太有想象力了。郭富城演的父亲真让人动容，顺便问一下这么帅的程序员哪里找啊。,40,11,1
桑丘的遐想,2023/4/2 20:45,演的是洗黑钱，我看这电影质量就像是洗黑钱用的。剧情本身bug漏洞极多，不能细细思考。任达华扮演的警方感觉没什么实质性作为，反派抓男主就离谱，几个黑社会追了几条街抓不住一个程序员，公司断网了，员工全跑光了，就留下几个涉及剧情的人在公司，离谱。最新颖的地方是把网络间代码对战做成了相对具象化的表现形式。,20,35,0
yukicheung,2023/3/3 20:17,把玄幻和犯罪结合，看得云里雾里的，不敢相信是郑保瑞写的剧本。,20,68,0
西楼尘,2023/3/4 8:58,他，人前是杀伐决断不苟言笑的天极高管，人后是百般宠溺铤而走险的如父长兄。白天是遁入暗网穿梭自如的数字高手，夜晚是钻进笼屋脱盔卸甲的亿万富豪。永远忘不掉弟弟被人拿脚踩口吐白沫的狼狈，誓要不惜一切为弟血洗球场复仇。是黑客，是掮客，是棋子，还是幕后大佬？不，他只是一个感动全香港的哥哥。,10,54,0
淡蛋蛋淡,2023/3/3 20:32,郭天王的演技在东莞仔面前被吊打，这么爱扶自己的眼镜吗？,20,69,0
尚卢洛夫斯基,2023/3/3 20:47,简直可以说是用所谓“高科技”特效堆成的色素快节奏垃圾,10,41,0
on1on,2023/3/3 20:32,看这个不如去看《网络迷踪》和《解除好友2:暗网》!!!!!!又烂又蠢????????对网络空间黑客攻防的可视化表现像极了郭富城在拍海飞丝广告，逻辑扑街纯瞎扯淡这边在说firewall那边又扯到机器学习去了，和断网没半毛钱关系连暗网也是(营销)顺便感叹句香港警察真是fucking bitch!!,10,34,0
夏日的小西瓜,2023/4/3 11:25,2.8星。情节让人看着生气，重要职能的人一点卵用没得，各种闲庭信步。表现最佳是林家栋。,30,5,1
朝阳区妻夫木聪,2023/3/4 19:16,如果我没记错的话，当时最初看到这个片子的开机新闻，写的是因为疫情导致香港电影行业低迷不振，电影人很久没开工了，郭富城林家栋两大影帝联手上阵自降片酬鼓舞士气，助力行业复工。当时我心想，真好啊，行业复苏还是得靠这批有担当的“老人家”，而且让我对这个片子一度很期待。结果今天看完成片，有点说不出话来。原来21年就拿到标了，但sorry，就这？当然有那份心意肯定是要认可的，但是这个呈现质量实在太尴尬了，感觉导演需要背大锅。这么一个本来就没太多起伏的故事，还选了这么一个平铺直叙的讲述方式，所谓的可视化的黑客攻击场景，真的就跟那种网络游戏的画面没啥区别，几个影帝确实是演的很卖力，但真的也就是很卖力而已。这个片子还需要三个编剧，我是没太搞懂。,20,22,0
一心一译0708,2023/3/5 20:50,"为什么现在的豆瓣，好片豆瓣5字头，烂片豆瓣9字头啊
现在人的审美发生了什么？！",50,5,1
二月鸟语,2023/3/4 22:06,全方位的烂，一种陈旧的烂，一种毫无逻辑的烂，一种洗黑钱式的烂,10,8,0
或者雪,2023/3/3 23:18,这个电影对程序运行的视觉表现有种世纪初的感觉，让人联想到《快乐星球》《魔幻手机》等经典文艺作品,30,16,1
luoyinluoxuan,2023/3/3 21:51,这是科技玄幻电影了，网络攻击可视化特效令人惊艳，电影配乐很契合，演员演技很到位，剧情么就和现在绝大部分上映的港片一样…需要观众自己体会吧～,40,7,1
热情华夫饼,2023/3/3 20:12,年度蠢片，正反派智商轮流蹦极。而且里面对网络空间黑客攻防的可视化表现特别像地方电视台会循环播放的那种保险公司或者男科医院的广告。,10,30,0
启真湖千纸鹤,2023/3/3 22:11,《断网》是一部挺好的港片！以5G信息时代为背景，黑客入侵，反洗黑 道的网络安全片。剧情紧湊，演技炸裂。两条线：父女情、兄弟情让两人走向了不同的道路。好题材！好电影！另：郭富城真的太帅了吧！,40,9,1
小旗,2023/3/3 20:26,无力吐槽的脑残剧情+故弄玄虚的赛博空间，今年院线最烂港片的有力竞争者,20,52,0
一條魚佔滿了河,2023/3/3 21:19,搞出一個那麼大的概念，卻拍得非常小家子氣。故事不複雜，角色不多，片長也短，卻情節擠著情節向前滾，整個故事結構都是不完整的，越往後故事走向和角色行為就越沒有邏輯，在崩壞的路上越走越崩。網絡實體化的戲執行太差，還不如不拍，把科技犯罪片拍成了奇幻片，還是low的那種。劇本殘疾，表演也沒看點，郭富城還是不發癲不會演戲那一套，林家棟、任達華、譚耀文也都達不到各自的行貨水準。,10,16,0
她是猫鳄鱼,2023/3/3 21:50,就爱这赛博朋克感！ps:我是真的会被这些穿西装的老男人迷死…,40,12,1
HelloDoris,2023/4/8 22:41,"但凡编剧请个IT问一下或有个脑子，都不会写出这么蠢的剧情。
1. 能让香港断网的顶级网络安全工程师拿不出80w？！
2. 香港竟然能全港断网？！
3. 两年内银行生产业务中断4次每次10min，这特特特特特特级事故没人问责？！
4. 未测试程序加入客户生产环境 excuse me？！
5.  反派能操控新能源车刹车失灵全车死翘翘，特斯拉不赶紧告一下电影诽谤？！
6.  机房随便进？！
好想和同事一起看这个搞笑片哈哈哈",10,10,0
momo,2023/3/3 22:14,前有刘德华用MOSS救女，现有郭富城携奥利救女，张学友和黎明考不考虑也各来一部，凑一个天王AI救女四部曲。（音效有点可怕，震的影院地在抖，好似看4D，心脏不好慎入。）,30,12,1
王大根,2023/3/3 22:31,不得不想起古天乐的《明日战记》（每个港片男主都有一个身患重症的小女儿是吧），纯香港阵容的投资与制作水准实现不了大特效片的野心，特效场景场场都令人掩面……,20,33,0
Christian,2023/3/3 21:17,任达华、郭富城和林家栋数位香港大牌演员齐聚。电影倒是以一种网络迷踪式的刑侦破案展开叙事，但不同于这几年的网络密案类型，他更贴近于在寻案过程的，试图打开一种崭新的科幻的世界观。几位演员的表演都挺在线，总的来说就是科幻+破案刑侦+网络。,40,15,1
阿根廷万岁,2023/3/5 8:33,郭天王在电影里当程序员真是屈才了，单挑一堆黑社会和警察基本毫发无伤；影片中郭天王的妻子掌握瞬移技能，比警察先到达绑架地点，单挑黑社会打手小妹直接KO对手… 有这战斗力夫妻俩真不考虑转行吗…最后影片中还暗示了扶弟魔无论男女都没有好结果，林家栋的角色作为公司高管表面过着光鲜亮丽的生活，不婚不育没有父母基本没有软肋，却为了弟弟最终把自己搭进去了…,10,18,0
赵锦辛,2023/3/3 20:29,#这是在干什么,20,42,0
丽地呼声,2023/3/6 21:34,挺纯正，但感觉回无趣，我知道不好看，但港片每年只在大陆上映几部而已，能怎么办，《正义回廊》这种牛叉港片大陆又无缘上映,50,1,1
ZOE1412,2023/3/3 23:59,光看可视化网络情节让我感觉会敲代码好酷啊，敲几下就什么都能控制，细思极恐。ps把转账给具象化了，真拿钱跑路??pps就不想再说这里警察做事老添堵了,40,5,1
Morning,2023/3/6 22:41,看完后我才知道是黄庆勋的作品，不自觉的咝了一声，前作麦路人就已经很差了，没想到这部作品还能更差。网络题材说新不新说旧不旧，新是在于华语区对于这类题材基本都是忽视的，大家都还在拍一些老片子，连手机都没有被拍好，别说更现代化的网络了，说旧它其实已经出现了许多佳作了，所以这一部还在以网络可视化作为卖点，我想说真的就是不怕货比三家的无知自信。剧本是不过关的，只给人物一个单薄的动机，而作为高智商犯罪题材更看重的逻辑的部分，这个电影基本是在自取其辱。可视化后拍得像页游，一种廉价的奇幻感，动作场面都是摔来摔去，男的互相乱摔，逃跑非要往高处跑，再互相摔，女的那边更可笑，一个杀手直接被摔死，三个影帝再加上谭耀文基本都不在状态，稍微好一点只有林家栋，毕竟是奸角，表演起来也没有难度。,10,8,0
基瑞尔,2023/3/3 20:26,选材网络犯罪来开拓总是一层不变的刑侦类故事是个值得肯定的尝试，但每每进行拟人式场景再现来完成自以为是的“科普”或是屏幕上乱七八糟的设计都感觉在侮辱观众智商。这之外更大的感受是大家都在这个没有新意的故事中演得相当疲累，尤其是“交货”嫌疑的任达华，似乎从头到尾也不为这个故事逻辑所打动。P.S. 要被说服城城是个“技术宅男”真的也太难了？把病床上的弟弟顾定轩换下来，或者陈家乐、沈震轩、陈湛文、Jeffrey、岑珈其…哪个不合适啊==,20,25,0
怪人村,2023/3/3 21:52,听说被雪藏了两年，大可不必。剧中黑客的形象还是蛮飒的，郭富城颜值在线，为何岁月饶过了他？,40,4,1
陀螺凡达可,2023/3/31 20:40,1.5 概念其实挺好的，但也就是概念而已，从概念开始往后的所有发展和落地都是错误的、失败的。,10,4,0
申报记者何书桓,2023/3/3 20:18,我的天啊，怎么会这么难看，白瞎了这么好的阵容，导演要负全责！??,10,20,0
花生騷,2023/3/6 14:30,三大影帝也拯救不了剧本孱弱，逻辑失控，奇怪艺术风格的影片。,20,10,0
凸凸凸噗,2023/3/5 17:37,要死了，集结三大影帝就霍霍出这么个玩意儿，导演黄庆勋前作《麦路人》就是一部堆砌苦难的尬煽庸作，消费郭天王一张落魄大叔的帅脸。这部更了得，化身骇客洗黑钱化身孩奴救女儿，还要和一帮弱智阿sir周旋，智力和体能全程高度负载；再说这片的特效，概念上无论怎么看都是在模仿《无敌破坏王》的科幻设定，硬是在现实打斗以外的地方开拓出一片网络虚拟世界，里面的人个个法师打法术伤害，特效做得稀烂，简直就是光污染，剧组肉眼可见的缺钱，现在的港人拍传统的犯罪动作片已显疲态，有空整这花活圈钱不如好好钻研剧本。,20,4,0
小狐腻,2023/4/9 18:48,啊，又一部老牌港星的烂港片诞生了。没有去电影院看真的是一件幸运的事情呢,20,1,0
电姜球,2023/3/8 20:33,好美丽的坏女人，好烂的片,20,4,0
WIKI魏,2023/5/1 22:59,强行生智，生生把上网片拍成了企业VCR科技版，空空的内容最大限度的用特效表现网络,10,0,0
乌鸦火堂,2023/4/7 12:03,"网络世界视觉化是亮点，暗网那段有点《陀地驱魔人》鬼城的感觉了。抛开那些程序员bug，前半段故事节奏真不错。但是，中段大病毒放出来之后，就好像电影里的世界和编导的脑子都被侵蚀了一样。

按理说好不容易搞一个网络视觉化的特色，最后大战应该在网络里决一胜负，搞一出网络版《寒战》，这才合理。但这片后半段又成了警匪片。是港片的通病吗？

感觉无论是导演黄庆勋还是监制郑保瑞，可能拍一半就走人了，或者后半段编不出来了，只能胡来了，前后完全不搭。谭耀文角色后面找不到了，最差的当属任达华那条线，尴尬的像是从其他电影里剪辑过来的一样。",20,4,0
把噗,2023/4/3 19:24,啊这，人脑互联提前实现。,10,2,0
厚唇贝儿,2023/3/3 20:50,好几次我都觉得郭富城要崩溃了…结果居然在黑白两道冤枉与逼迫的高压下还能从深渊中绝处逢生、勇往直前，只能说为了女儿和家庭，一个父亲真的可以靠强大意志力做到极致。,40,14,1
有志向的三流,2023/3/3 20:56,4.5，徒有其表。还是支持郭富城和林家栋继续拍片的，但是这种就大可不必了。,20,16,0
VAM??,2023/3/4 19:29,如坐针毡，现如今的港片竟能无聊土到这种地步…………多了都不想评价,10,11,0
mOco,2023/4/9 13:57,梦回世纪初的网游。,10,0,0
Virgil,2023/4/23 14:06,20230226 怀疑这片拍来就是洗钱用的。陈明志这个角色实在是太“对技术一窍不通女高管电脑坏了辱骂IT部门员工”了，照顾弟弟那场戏除了栋姐标志性兰花指之外，他打电话手机还拿倒了你们造吗……实在太好笑了，感觉老年痴呆前兆。片有多烂就不赘述了各位都已经花式骂过了。主要的收获是路演拿职业生涯黑历史超级大烂片《七擒七纵七色狼》DVD去签名愉快阴阳了一下栋姐本人。什么时候再演回自己最擅长的乸型角色啊我等着。,10,0,0
狄俄尼索斯,2023/3/4 21:32,前半段就像只有一幕的情景剧一般沉闷无聊，后半段才略丰富了一点，最后抖出个伏笔也算稍微有点起色。但整体妥妥不及格。数码世界的视觉画面如同木偶剧一般幼稚，看得出似乎在模仿《我是谁：没有绝对安全的系统》、但并没有人家那么扎实的故事底子，剧情如同没头没脑的故事一般乏善可陈、平铺直叙缺少惊喜。郭富城林家栋任达华这是接了个啥？我只能说老戏骨的演技是真的精湛、无论什么样的剧情都能入戏。,20,6,0
安东,2023/4/2 11:32,拍这部电影就是为了洗黑钱吧？,10,1,0
小斑,2023/4/2 15:11,开局那个亮明牌报坏人就给我惊到了——真的一点悬疑都不要啊喂，这也太摆烂了，AI写的剧本也比这强啊喂。看到两人戴着塑料面具站在一棵五毛特效的树底下谈服务器，实在忍不下去弃了。太！难！看！了！,10,2,0
温岭阿浪,2023/3/3 22:53,"关于网络犯罪题材电影市场上较为少见，本片不仅题材上较有新鲜感，而且在行业知识上运用了大量特效做画面模拟，使抽象的知识变为可观的画面，不仅便于观众理解，还加强了观赏性。
此外，一定的反转、追逐，配以紧张感十足的音乐，全程营造出紧张压抑的气氛。不过，如果能在紧张的同时加入一些笑料，可能观影感受会更爽点。",40,12,1
卡夫卡的小屋,2023/3/3 22:21,除了有枪战戏和近身搏斗这些港片经典元素之外，还有任达华郭富城林家栋这些熟悉面孔，网络犯罪的题材也很新颖，港片爱好者值得一看。,40,5,1
听说,2023/3/3 23:51,像是看了场寂寞…,20,16,0
周宇勋,2023/4/3 21:22,引入《黑客帝国》的概念并结合《头号玩家》的呈现方式，剧本却单薄到可怜。通篇不合逻辑之处甚多，包含人物动机模糊、主题陈旧，尤其技术处理上的理论性错误与剧情推进上的各种反常规操作实在难以忍受，尴尬到底。这样的电影就是典型的：普通民众看不懂，专业人士看了只会贻笑大方。恳请三位影帝以后别拍了！！,10,2,0
沁沅,2023/3/5 7:34,文科生对黑客的想象力之匮乏…黑入电脑的情节一定要用低端艺术的方式去表达…外加煽情的替生病亲人筹钱的情节，看得尴尬至极，警察又是充当废柴的存在,20,5,0
F,2023/3/3 21:54,导演用一种很新鲜的方式拍摄网络犯罪，使电影更加的精彩，更让人眼前一亮，给人展现了一种不一样的感觉，保留了港片经典元素，又有创新的部分，很推荐。,40,4,1
荆棘,2023/4/2 9:08,难看到真的无法忍受…打出久违的一星，万分后悔浪费了快两个小时。,10,1,0
手打柠檬茶,2023/3/3 21:58,三星半。模拟网络的特效有一点好笑，像廉价游戏（）男主黑客出身居然对自己用的设备没有做任何反追踪方案。幕后反派居然这么容易就挂了（）,40,4,1
So,2023/3/3 22:16,最新颖的莫过于将虚无缥缈的网络犯罪视觉化实体化，将网络化为森林、防火墙变成移动迷宫，编剧和导演的脑洞真的很大。,40,8,1
-改名了-,2023/3/3 20:33,感官被暴击，大剂量不必要的声光刺激，很多场面的处理只是为了shock value… 不如好好讲故事,10,12,0
你在百花深处,2023/3/3 22:52,如今的时代是互联网时代，这是一个毋庸置疑的结论。时代的进步不仅便捷了人们的生活，犯罪的方式和手段也同样在互联网这艘快车上。也正如次，犯罪题材的电影也绝不能仅局限于传统的犯罪元素。本片就做到了，应该是国内首次以网络安全为核心题材的电影，而这次创新尝试不仅兼具了港式电影的风格也极具科技性。,40,4,1
Mars panda,2023/4/16 23:32,没有编剧来救救香港电影么？这些咖位的演员拍烂片太让人心酸,10,0,0
海边的曼彻斯特,2023/4/2 21:53,这可能是今年我看的最拉的港片，开局即想睡，看一分钟都是煎熬,10,1,0
不忠帧的暗娼,2023/3/3 21:48,首部讲述网络金融犯罪的影片，三大影帝斗智斗勇，林家栋演技真是太好了，越来越有味道；郭富城和任达华的表现也是可圈可点。毕竟三大影帝同台飙戏就是得劲，值得推荐！,40,5,1
紅葉,2023/4/2 20:40,弟弟才是最惨的好吧,20,5,0
?????♀?,2023/3/3 21:54,情节设置十分精彩，在网络金融犯罪的主题下，导演采用了绝妙的表现手法将新型犯罪手段可视化。每个片段都让人感到互联网后的恐怖力量正酝酿着多么大的阴谋，在我们看不到的地方，类似的事情也正在发生。,40,4,1
Dreached.,2023/3/3 20:27,Restore之前还有点意思 restore之后：当我傻逼？？？？,30,38,1
tail,2023/4/2 20:30,"默默地尴尬呀
前面氛围渲染得还行
拟人化的黑客虽然是参照了别的电影但我也能接受
可是这个剧情无力啊
为什么要白瞎好演员",20,5,0
MISs.KIRA,2023/4/5 16:05,为什么2023年了，还能看到用拟人的方式来拍暗网交易黑客战争…,10,1,0
白羊先生,2023/3/3 21:34,意想不到居然是这样的港片，互联网的具像化做得非常好，既有体验又能完全理解剧情，是个很不错的尝试。在网络世界里是能力超群的黑客，在现实世界里是为女儿铤而走险的父亲，人物的一体两面也塑造了出来，让卓家俊这个角色更立体生动。节奏拿捏的很好，全程紧凑，为数不多的动作戏也是在线的。光是看郭富城、林家栋和任达华飙戏就已经是种享受了。,40,6,1
冴木,2023/3/3 22:31,你期待在犯罪动作题材的香港电影里看到什么？那在这部戏里，你能想象到的港片元素全都有。枪战、肉搏、追车、生死时速的威胁等等就足够满足本港片迷的期待，此外片子里呈现的网络虚拟世界不仅视觉上让人感觉震撼，他所打造的网络森林也让人觉得眼前一亮。,40,4,1
榜上有名猫,2023/3/7 19:15,这届香港编剧依旧还是把观众当傻瓜？虽然网络犯罪可视化题材是不错的创新，但最基本的剧情逻辑都忽略了，只顾片段式叙事，让关键角色全靠瞬间移动提前抵达现场，转折点都是刚刚好。码农战斗力过高还勉强能忍，但一个家庭主妇遭遇职业杀手袭击，能反杀？？职业团队级别的反派们，就这样全挂了？？现在的观众还吃这一套吗？,20,3,0
JoeyLu陆柏宇,2023/3/4 0:16,蛮有创意的,30,6,1
JJaya,2023/3/3 20:01,"蛮难看的，特效真的太丑了，小学鸡一样的动作令人发笑，我都怕他下一秒喊出变身，我也不懂用一个塑料瓶子一样的面罩套在头上做什么。而且动作设计的也丑，打斗的时候镜头切几次群众很尴尬。最年轻的林家栋最显老
明白了几点：
1.坐过牢就很难得到别人的信任
2.真的为母则刚
3.逃跑的时候一定要把手机丢掉
如果为了任达华来看的就别来了（我朋友就是）因为他出场10分钟可能都没有，此片可入围我的年度难看top10（开玩笑",20,22,0
Jasmine_长乐,2023/3/3 20:48,说是犯罪片也不是纯粹的犯罪片，毕竟是难得将网络犯罪当做题材，有网络虚拟空间的展现所以也算半部科幻片。网络虚拟空间的设定还行（暗net的那个声音设计真的很贴切），有点像小时候看的动画片《网络英雄洛克人》。剧情有些bug但是勉强能接受。情感线方面，男主就是靠着对女儿的爱游离于善恶之间。比较出戏的是作为码农，男主和他老婆的武力值也太厉害了点哈哈。,30,13,1
kylegun,2023/3/17 23:09,黑车灭口冚家铲，免费午餐替罪羊，AI断网偷数据，街市跑酷躲恶徒，暗网寻踪报私仇；《麦路人》导演和郑保瑞编剧的诚意小品，东莞仔和郭天王都算交足功课，如此差评也许是大家现在对港产片的要求比以前高了不少？,40,0,1
牛奶很忙,2023/4/1 13:33,开头以为是无双，看到中间才发现原来改的是暗花，笑死,20,1,0
梁威是条狗,2023/4/6 9:53,网络犯罪，黑客偷钱，文武全才正义程序员一人击溃犯罪组织。中规中矩，故事非常浅薄，单纯的杀人越货、缉匪复仇。虽然套了个科技外壳，但这种没有深度的故事，缺乏对社会矛盾、人性的剖析，就会变成单纯的警匪动作片，一旦大家把关注点放在动作上，又会觉得毫无亮点。值得一提的是，将网络虚拟世界的犯罪，日常生活中敲敲键盘的事情，拍的这么生动惊险，并且能让毫无技术认识的普通观众直观体验到实体化的网络犯罪，也是挺难得的，至于普通观众能否感受其中的奥妙且与之共鸣，也恰恰是最大的挑战。,20,0,0
daangel,2023/4/22 23:37,作为一部极客电影，剧情如此弱智，实在是难堪！,30,0,1
江??风,2023/3/3 20:10,5.8/10 前十分钟很新颖 以为有非常大的世界观塑造 但仅仅是画了个大饼 后续发展剪辑混乱切bug层出不穷 看的时候满头问号 除了男主的演技 警察不作为+工具人大量存在使得观感极具下滑 感叹可惜塑造这么好的世界观和特效 剧情割裂感尤为严重 仿佛看了两部50分钟的电影 还有很多疑点留白 不知是刻意为之还是剧本编不下去了 对电脑啪啪按的场景几乎占据了影片半部分（在我理解为毫无意义的空镜头 ）图个乐看还行 很失望 也很可惜 里面场景渲染有很多黑客帝国的影子 希望如果有2能够好好打磨一下剧本吧,20,16,0
GAKI,2023/3/3 20:45,把黑客技术视觉化呈现出来还是很新颖的，看的比较有意思。但是全员降智太可怕，香港警察都被写成废物了。三大影帝飙戏？飙了个啥？我们可是都看过《狂飙》的人！恕我直言，演的最出彩的是Tom胡子彤！,30,9,1
小斑,2023/4/2 15:11,开局那个亮明牌报坏人就给我惊到了——真的一点悬疑都不要啊喂，这也太摆烂了，AI写的剧本也比这强啊喂。看到两人戴着塑料面具站在一棵五毛特效的树底下谈服务器，实在忍不下去弃了。太！难！看！了！,10,2,0
周宇勋,2023/4/3 21:22,引入《黑客帝国》的概念并结合《头号玩家》的呈现方式，剧本却单薄到可怜。通篇不合逻辑之处甚多，包含人物动机模糊、主题陈旧，尤其技术处理上的理论性错误与剧情推进上的各种反常规操作实在难以忍受，尴尬到底。这样的电影就是典型的：普通民众看不懂，专业人士看了只会贻笑大方。恳请三位影帝以后别拍了！！,10,2,0
荆棘,2023/4/2 9:08,难看到真的无法忍受…打出久违的一星，万分后悔浪费了快两个小时。,10,1,0
微暗的火,2023/3/4 15:14,网络科技可视化看的很过瘾，虚拟的设定的呈现也很棒，画面呈现、视听效果和打斗场面都很过瘾，三个港片男神们的演技在线！从画面到剧本逻辑上都感受到了导演主创们的满满诚意。,40,1,1
晚不安,2023/3/11 15:34,看来多年副导演的从业经验，也没能让黄庆勋建立起对作品的敏锐度和掌控力，典型体现在他对剧本缺乏判断，无论是现实主义的《麦路人》还是有科技属性的《断网》，他都无法纠正情节的巨大硬伤，饶是天王天后的阵容也挽救不了电影的颓势。如果说《麦路人》还可以用温情向和社会议题拉回一点分数，那么《断网》的伪高概念和站不住脚的人物动机对犯罪类型片的打击就实在是毁灭级的。放眼香港影坛，一些人情怀过满，另一些人滥竽充数。,20,1,0
小锤,2023/3/4 23:35,@PremiereElement，試圖在冷冰冰的網絡代碼中加添一些有溫度的情感交匯，可惜沒什麼共鳴效果，後段劇情大暴走得有點尷尬，果然是郭富城失去了一切他的家人證實了這點……,0,1,0
