用户名,评论时间,评论内容,评分,赞同数,情感
胤祥,2022/12/18 18:38,"#4th HIIFF# 开幕片。7分。把片子当成武侠片来看就全捋顺了。无论是稍嫌不足的主角人物动机，以及有些无来由的诸多桥段，放到这个类型（而不是喜剧）里就特别通畅。全片为男主一人作配，人物形象算是立住了；女儿副线其实也只有一小半成立（父女关系是可以的，其余的也太潦草了……）。片子英文名叫”post truth""算是个亮点，视听上对社交媒体内容的运用其实可以用得更有想法一点。无法审判吃瓜群众的时候，就只能找一个肉身代表来审判，同时也就把群众责任赦免了，这角度，啧啧。另外也是头回见到“司法量刑字幕卡”之后还有重场戏的，这也算个视听语言新进展吧哈哈哈。",40,523,1
李博文,2023/3/11 15:55,怎么说呢，就是这电影如果是外国的，大鹏是白人 宋茜是黑人，放在《绿皮书》那届就坐地拿小金人了,50,4287,1
当ism,2023/2/24 0:44,结尾有扎实地被感动到，平安哥的所有坚持，伴着毛不易唱的祝你平安，让我的眼泪也一股脑儿的出来了。大鹏导演的每一部电影都是一次蜕变，每一点进步，说易行难，这次必须5星好评！,50,2454,1
笙,2023/3/17 18:48,“当你说一个女人是小姐时，不管是不是，她都已经是了。”,40,396,1
朝阳区妻夫木聪,2022/12/19 18:51,#4thHIIFF# 大鹏真的越拍越好了。从煎饼侠到缝纫机乐队再到这部，一直在诠释平凡小人物的心境。他们不是完全意义上完美的人，但都在用自己的方式去坚持捍卫着什么。魏平安这个人物的底色是有些悲凉的，有过所谓的人生“污点”，学历不高，做着一份不上不下的工作，生活的面子光鲜亮丽但里子可以随便凑合。但即便如此，他依旧会去帮助一个萍水相逢的人，去追求一个没人在乎的真相。某种程度上，这是他对抗这个世界的方式，或许执拗笨拙，但却有情有义。再次响起《都选C》这首歌，既是缅怀老友，也是旧戏新唱。就像歌词唱的，一个固执的不被世界理解的“卢瑟”，却有着自己理解这个世界的方式。所以最后那场极具情感渲染力的戏会那么动人，全世界都在笑，他却哭了，因为他总算看到了，这个世上，也有人在傻傻地理解着他。他很孤单，但他并不孤独。,40,485,1
seventictok,2023/3/11 0:53,如果坐台小姐去世了，请按照合同法(而不是贞洁)，依法deal with她的坟墓谢谢..,30,2206,1
黛玉,2022/12/19 0:36,李雪琴，天然感演员。,50,2261,1
张小北,2023/3/11 8:51,大鹏难得的是一直在进步，这一点不容易。,40,336,1
momo（打拳版,2023/3/11 22:56,就算是真的坐台小姐，坐台赚的钱全捐给福利院了，这还不高尚吗？？,50,1839,1
云城,2023/3/20 14:40,非常喜欢结尾和第一个彩蛋的设计，因为平安哥在多年前满足了韩露小小的生日愿望，韩露也在自己死后满足了平安哥一个小小的生日愿望，结尾平安哥虽然为韩露讨回了公道，但既没有去吃流量红利，又赔掉了大奔，丢掉了工作，在生日吃完蛋糕进行短暂的庆祝后，女儿跟着后爸回家，独留落寞的自己游荡在繁华的街头，他的英雄行为似乎什么都没有为自己挣得，这时收到了来自韩露的生日祝福，算是对他一路奋斗的最大肯定，同时如果平安哥在那个内蒙的夜晚放弃为韩露讨一个公道，韩露的礼物将成为平安哥内心永远过不去的一道坎，因为两人都坚持了自己的善良，才最终互相救赎,40,273,1
亵渎电影,2023/3/8 17:51,看了点映，果然拍得很好！大鹏导演越来越厉害了，在这样一部电影里，不仅可以自如地拿捏各种社会话题的题材舒适度，还可以熟练地杂糅几种电影类型，就连最难拿捏的喜剧部分，也丝毫不会让人觉得尬。感觉这是一种来自人群中，带着烟火气的创作，没有高高在上和自以为是，把“造谣一张嘴，辟谣跑断腿”这种互联网时代常见的事情拍出了侠气。该上价值的时候，“做自己觉得对的事”这个简单普世的价值，也能用充满温情的方式讲了出来，最后的“666”让人在不知不觉中跟着主角一起泪目。不管是主线里男主和客服的萍水相逢，还是父女支线里的父女和解，都处理得不落俗套，我非常喜欢父女线的处理方式，让你看到助人为乐时才会感受到勇敢、心安和快乐。电影的完成度很棒，兼顾了社会话题，作者表达和商业性，虽是喜剧，看到最后却是普通人的心酸不易。,40,167,1
阿达方,2022/12/19 0:42,HIIFF开幕影片，也是本片首映。映前大鹏说这么久了再一次看到这么多人坐在电影院很感动，这句话很打动我，影片也是，有笑有泪。,50,1122,1
格兰芬多,2023/3/4 17:04,"你问这一切到底值不值？最后的烟花会给你想要的答案。

大鹏的作品在进步，越来越扎实，更贴地气，也更细腻。依旧是以喜剧式讽刺社会的作品，题材落地了，想法务实了，对社会以及当下时事的思考表达的相当充分。

单就对网络喷子、键盘侠、造谣等话题的讨论与表现就很讨喜，社会及互联网的乱象需要一部有喜剧感的作品来传播，当魏平安将造谣者键盘侠按倒的那一刻，谁不喊一声“爽”！",50,915,1
Rosie,2023/3/21 19:48,徐江和AD钙奶锁死,40,165,1
祝老六,2022/12/20 1:33,多奇葩才能用英雄救美的方法将女性受害的故事。除了压根尬笑都很难笑出来以外，还要忍受既要笑中带泪，又要社会现实，还要温暖感人这种又烂又无聊的观念指导。同时还伴随着对于女性工作者歧视和外貌歧视。顺便说一句，这种最终认可胎记的表面情节工夫，和最后字幕一行字说犯罪嫌疑人伏法并没有什么区别,10,572,0
杨迪,2023/3/11 15:02,电影《保你平安》上映了，上海路演时我第一次看全片，个中情节看得我泪流满面，感同身受，它的立意在网络言论横行的时代显得弥足珍贵。当大家面对某个信息时，自己独立的思考和判断太重要了，有时候再等等可能会有另一种结果。一些“眼见为实”的真相会惹得你义愤填膺，怀着正义的心也有可能惹下错误之举。一部电影，一些只言片语，影响虽是有限的，愿每一位看了《保你平安》的你我都永远坚信【善恶到头终有报，人间自有真情在】，保持善良，平安心安。,50,504,1
黄曾鸿辰,2023/3/4 23:41,2021年，在横店。连着好久一段时间赶工没咋睡觉，自己一天比一天懈怠，精神又变得不好，吃了吐吐了吃，我崩溃着给周妈打电话说我不想做剪辑了，周妈说孩子太累了就休息一下，但答应别人的事情要做完。我觉得有道理，但还是很难让自己立刻恢复朝气，直到我和李哥阿萱请假去看了《吉祥如意》。我看完哭了很久，觉得干电影真好，我还是很想干电影的。我平复了情绪给大鹏哥打了视频电话，说《花木兰》的契机还是让我们认识得太晚了，不然我就能帮你剪《吉祥如意》了。他和阿花看我哭自己倒是笑得蛮开心，说，下一部等你！下一部会更好。然后就有了《保你平安》。他没骗我，下一部更好，而且我没有错过。谢谢大鹏哥，谢谢屠老师，谢谢周妈，我很开心，我还在剪片子，我还在干电影。,50,367,1
大上海红牡丹,2022/12/24 13:42,大鹏的“真诚”里永远透露着一种算计，本片显得特别油腔滑调，个人观感不如《缝纫机乐队》。,20,862,0
Tom,2022/12/19 0:46,2.5。平庸中的平庸，在表面复杂、艺术炫耀、高完成度背后，是一出并不够黑色幽默也不够现实主义的故事，落点“做我认为正确的事”实际上很无力，无法实现，这种简单与执拗令人失落。希望跨年后，2023年的电影能真的平安。,30,791,1
高詩遠,2023/3/5 17:09,看到的更多是大鹏的算计。因为是网暴题材，所以大鹏便把网络上曾经出现过的伤天害理的言论一股脑儿地，不加修饰地都搬上大银幕，导致无论是主角还是配角，所有的人物都是脸谱化的，毫无智商可言的，只能让人从中感受到命题作文式的虚假。为了一个所谓的真相，便不惜走上违法的道路，盗走他人财物（骨灰），妨碍司法机关工作，这种个人英雄主义的行为我实在不敢苟同。电影里是辟谣成功了之后，往日的受害者便可以在黄泉之下和爱人手牵手，可现实是李雪琴的那句“不管她做没做过坐台小姐，在别人说她是的那一刻，她就已经是了”。就算真是坐台小姐，被打入十八层地狱，急需一个男人帮忙立贞洁牌坊才是最恐怖的事。女儿在学校那条线更悲哀，恐吓他人，侵犯他人肖像权的女恶霸最后只被记过处分，这不仅是这个学校的无能，更说明了青少年保护法的漏洞与不足。,20,474,0
泽利格,2022/12/21 21:51,这电影到底从哪里看出来的外貌歧视的？女儿那条线就是因为身上很大的胎记被同学霸凌啊，从被霸凌到不再穿长裤不就是反抗吗，是反派小姑娘外貌歧视又不是电影外貌歧视，看价值观要看主角的价值观吧？？？说这些话的都什么毛病啊，张嘴就来,40,236,1
麻婆逗妇??,2023/3/8 19:14,"编剧功力不行，魏平安的所有行事动机缺乏真正可以信服的理由，而这个理由应该通过细节呈现，而不是直白于台词，导致影片呈现流于表面，情节递进要多尬有多尬。
全片贯穿始终的就是大鹏拼老命要证明韩露不是坐台小姐，这个立意……编剧团队意识形态落后可见一斑，职业不分贵贱，越想证明，越说明这个社会有病！人家做慈善，功德无量，就因为坐台小姐就低贱了？既然启用那么多喜剧演员，为什么不性别互换一下，去证明男的不是??呢？我想那要有趣得多了??。",20,391,0
歌德尖塔,2023/3/11 17:43,"没看过这么难看的，用批判网络暴力和荡妇羞辱做外衣，包裹起无数的恶俗烂梗，手法非常低级，以至于结尾看到魏平安望着江边的烟花流泪时都显得那么的“不真诚”。
另外，我真的不懂那些烂梗好笑在哪里，电影院里男生此起彼伏的笑声，以及当剧情演到校园霸凌画面中出现比较高大的女生时临座男性脱口而出的“坦克”，瞬间让我对这片子厌恶到极致，观影体验差爆了！",10,241,0
摸摸你的头,2022/12/19 7:57,观影前见到了大鹏，大概知道了题材。有很多想写的，但是又怕剧透。是一部搞笑的温暖充满正能量的喜剧片。但是中间有很多细节让我感动流泪好几次。值得大家去看。搞笑到眼泪，也让人感动流泪。节奏都把握的很好。正式上映之后我还会再去看一遍的。很用心的一部剧，甚至片尾的小彩蛋，还有怀念某某的某某哥。大鹏老师是个性情中人，用自己搞笑的方式去传播正能量。我也仿佛看到了自己，高中的时候为了同学去小诊所跟医生吵架（去年那个同学说起来我才想起）。然后直到现在工作多年了，还是很难改变“多管闲事”的臭毛病。是，做我觉得正确的事，就好。里面第一个触动我的细节，就是平安打好了一堆解释的文字但是删了，直接回复了“爸错了”。其实他想表达的很多内容都是体现在再平常不过的细节里，经历过才能感同身受，并不是纯纯的喜剧表面本身。,40,231,1
一條魚佔滿了河,2022/12/21 23:13,寫給現實的地獄笑話一則。人們總是可以為了自己的名譽而拼命，但是有多少人會為了別人的名譽而拼命呢，甚至以自己的名譽為代價，當一個損己利人的傻瓜，抽絲剝繭，撥雲見日，謠言背後的真相，是那麼荒誕，荒誕得如此現實。大鵬作為導演一直在進步，和他電影中的一個又一個傻瓜一樣，在堅持做著他覺得正確的事情，看電影的過程中，電影發佈了撤檔公告，無可奈何，身不由己，只能祝福電影平安。,40,163,1
飞起来的柴柴,2022/12/21 21:31,简直是依托答辩，感觉大脑被强奸了,20,207,0
朝暮雪,2023/3/10 21:00,"现实中真的有平安这样的人吗？又真的有韩露这样的完美受害者吗？
如果韩露不漂亮，如果她很丑，或者她是男的，有人网暴她，要挖她的坟，平安还会做出相同的选择吗？
但有多少人长得和宋茜一样漂亮呢？
现实中“韩露们”并不普遍，甚至可能根本没有，因为她没有任何污点，这是一个所有人都在诬陷一个最清白的人的故事，但现实中有完全没有污点的人吗？
现实中更多的是有人被网暴，甚至被打、被杀、被性侵，但他不是完美受害者，人们发现他以前也做过错事，尽管这两件事没有关系，人们仍然认为他不值得同情，他活该被伤害。“因为”他犯过错，“所以”他才会被伤害，这是因果关系。
我更想知道，如果韩露真的是小姐，有人要挖她的坟，如果一个不漂亮的人，一个有污点的人受到了伤害，人们依然会为他讨回公道吗？还是会因为他有污点，而认为他是罪有应得？",30,664,1
皮革业,2023/3/18 20:58,结尾挺有意思，造谣的拘了7天罚500，辟谣的15天欠十几万。,30,669,1
mr.tall,2023/3/22 22:36,喜欢结局，好人做完好事，没有富贵飞黄腾达，丢了工作，没跟富婆在一起，平平淡淡才是真,50,193,1
lena,2022/12/20 1:39,海影节开幕片，最后的祝你平安响起来时，突然感觉今年是真的不容易……总体来说电影平平吧，想接地气但是透着一股俗，对于正能量教化型电影习惯性不适。,30,266,1
乔乔吉,2023/3/14 12:19,3.5。大鹏真的很聪明，每一个设计都明摆着，就是冲着你的掌声和眼泪来的。可看性不低，但设计痕迹太明显，有用力过猛之嫌。另外，一个至关重要的问题是，如果最后查出来韩露真是坐台小姐，那她的坟就活该被挖吗？保你平安和金陵十三钗一样，看似动人的故事背后藏着一个充满偏见和糟粕的逻辑——女人没了贞洁，就低人一等，所以，要么不远万里不辞辛苦证明她不是坐台女，要么舍生取义换下女学生，用“污浊”的身体完成灵魂清白的自证。,30,230,1
一囧眉,2023/3/10 13:15,可惜豆瓣最高只有五星，不然我想打10星。AB两条线相辅相成，一个帮助女性洗脱死后被造黄谣的污蔑，一个帮助同学洗脱被冤枉的小事。爸爸和女儿到底是互相成就和鼓励了。结尾的可乐是把回旋镖，这个回旋镖把我刀死了。啊编剧导演牛逼！,50,237,1
臣水,2023/3/19 16:15,"如果她真的是一个站台小姐，如果她真的有过瑕疵和不光彩的经历，难道她就不配拥有真挚的感情和爱人吗？难道她就不配做好事吗？难道她就不配与其他人一样被平等对待吗——尤其是在死亡面前?
影片应该去拍的是，当她真的是一个站台小姐的时候，魏平安如何给她讨回公道——而不是像片中一样一句话带过，另外，为什么没有这么拍的，要么不敢，要么这件事在当今的文化环境下是行不通的——人们不会承认一个不够清白的受害者的公道，可是有谁是完全清白的呢？
其实用《简爱》来回答再好不过了，我不是以习俗、常规在和你说话，而是我的灵魂同你的灵魂，我们穿越坟墓，一同站在上帝脚下，彼此平等",30,172,1
谢谢你们的鱼,2023/3/4 16:33,真诚真是一个巨大的武器，说它是近10年国内最好的商业喜剧一点也不为过。有态度，有表达，剧作工整，情感真挚，质感落地，喜剧桥段有趣，以悬疑片的方式、喜剧片的风格去包装言之有物的主题表达，太喜欢了，大鹏越来越棒了！,40,150,1
芳??,2023/3/10 12:37,看了看评论区，跟我看的是一部电影吗？夸得角度也很清新，大鹏不知道买了多少氵军，但是不得不说风向的确影响评分，本来我觉得二星，被风向带得差点三星，冷静了一下，还是保持住我自己的判断。因为我单纯觉得这种质量的电影上八分，对不起其他好电影,20,131,0
宇宙超级大咕噜,2023/3/12 21:54,很喜欢马这个元素，主角做这么理想主义的事，在物质上得不到任何实际的回报，只能靠同样飘渺玄学的马来做支撑，即便这只是一只旁边马场逃出来的马。最后的烟花算是导演给这种理想主义者的一种奖励吧，如果主角没帮她就变成一种惩罚了。当然，无论奖惩都只是一场烟花,50,154,1
momo,2023/3/18 17:57,又是感叹豆瓣没有3.5星的时候，没有想象中那么重的牌坊感，但同样也谈不上什么女性意识，全篇人物为大鹏作配，马丽更是镶边中的镶边，而且女高层身为最容易被造黄谣的人群之一居然能说出“怎么没人说我是坐台的”这种话，真的挺没思考的，李雪琴的角色倒是有些亮色，而且感觉有融入她自己的想法，演技也自然，女儿那条线干瘪无味，非常浅表的程式化校园暴力，但整体还算节奏紧凑，造谣一张嘴辟谣跑断腿的主题表达清了，也算不错商业喜剧,30,115,1
相信电影,2023/3/11 18:31,"魏平安的女儿这条线我觉得设计得非常好，父女间的相互影响和同步觉醒，不仅让故事更加丰满，也让这份正义感更加厚重，更加有魅力；

【人言可畏】的现实意义，通过喜剧的形式表达出来，依然是字字戳心！",40,92,1
文白无墨,2023/3/28 15:42,当一个女人被人说是小姐的时候，不管她是不是，都已经是了。这句话电影值得五星。,50,150,1
乌鸦·空,2023/3/10 14:49,非常讨巧的题材掩盖不了贫瘠的内核,10,248,0
Fairy??,2023/3/4 19:45,"“当你说一个女人是小姐的时候，不管她是不是，她都已经是了。”

真·造谣一张嘴 辟谣跑断腿，这是现代社会下理想主义追求正义的故事，看到了好的议题，好的反思。却还是说服力不太强，我挺期待看到更多关于韩露的故事，但她更多的沦为了一种符号。

整体来看，这是一部标准的“有笑有泪”式正能量作品，风格有点土，也可以说是接地气吧，大段的直播元素不太喜欢，密室逃脱部分有笑果，但也太多了，过分追逐流行热点，就会失去了电影感。

最后，我会被每一部电影的烟花场景打动，这部也是一样。",30,145,1
gnosis,2023/3/12 16:05,从缝纫机乐队，到吉祥如意，到保你平安，大鹏真她妈是那块料。,50,157,1
九万里,2023/3/17 10:38,哇哦～女性被造黄遥的解决办法竟然是自证清白,30,104,1
方也也会失眠吗,2023/3/11 1:55,真诚地讲了故事，但对讨论其中所涉主题无甚启发。男性导演爱拍的裤裆段子和动作戏令人疲劳。,30,94,1
重耳,2023/3/6 10:55,cuc点映场，片方就是不点我们这些学电影的，狂点自己的人发表演讲,30,75,1
反派兔兔,2023/3/17 21:33,我就直说了，中国需要这样的电影。,50,135,1
岬,2023/3/8 23:04,对于她是否是坐台小姐决定她是否有资格像个正常人一样被安葬这点非常隔应。如鲠在喉，一直。就算在正义感煽情处生理性流了泪。宽容点的话闭着眼可以松松给个四星但是实在是做不到。还是在妇女节这天。,30,96,1
世纪末日卢瑟王,2023/3/12 20:30,商业片就该这么拍，都学着点。讲好了故事，教会了做人，还埋了梗，宣传家乡，这么认真的片子还要什么自行车。,50,129,1
紫色小影,2023/3/19 18:38,在整个历经重重证明她是个好女孩的过程中，他同时在说：“你是个妓女的话，就是不能埋在我边上。”解决造谣的方法根本不是剖开肚子证明吃了几碗粉，而是直接干掉那个造谣的人，或者消除歧视，妓女也不可以挖她的坟。,30,59,1
旺仔小王子,2023/3/13 21:15,当你说一个女人是小姐的时候，不管她是不是，她已经是了/造谣一张嘴，辟谣跑断腿/大鹏有点本事在身上的,50,92,1
monica-li,2023/3/12 23:40,结尾大鹏终于澄清谣言之后，负债累累打工的场景，加一星,40,109,1
连城易脆,2022/12/22 17:36,"起初看到一水儿的好评，基于行业敏感性还以为是公关营销工作做得很到位，不过看到胤祥老师和大奇特都给了4星，就觉得应该还不赖。

实际看完也的确不负期待，大鹏的确是个认真创作的人，他确实不糊弄，想要好好拍电影。因此，你可以很容易通过这部电影感知到他在类型片创作上的进一步成熟以及对于社会问题的敏锐捕捉，同时结合了较为感性又深邃的个人表达。

电影的题材相当好，尤其是在这样一个造谣传谣遍地的移动互联网时代，很容易产生共情，如若也曾受过谣言中伤，想必就更能体会片中人物的动机了。另外电影片尾的??很棒，字幕的电子烟花也很美！

看到一半惊闻电影撤档感到非常可惜，可能还是觉得大盘太冷了吧，至少这次可以肯定的是并非口碑不过硬，内容上也没看出啥敏感问题。期待早日重新定档上映，电影非常适合这个冬天。",40,70,1
竹人戈矛,2023/3/19 19:56,"值得一看。
没想到最感动我的点是那句打了又删删了又打的，爸错了。",50,71,1
欢乐分裂,2023/3/21 16:27,2.5；很刻意的精巧算计型平庸，抓取目前热点议题+类型元素杂糅+人间真情煽情牌，在升华立意的用力度可看出大鹏对自身创作的进取，但流于悬浮的人设塑造（伸张正义并不具有很强的说服力与动机）和浅尝辄止的试探（敢问假如结尾真的是呢），只能让本片看起来依旧是个美好愿望。只想说现实中那么多人借“吃瓜”之名沦为网暴一员还特别庄严崇高跟风转发谴责就觉得滑稽荒唐，还没见过大众或官方为污蔑谁而道歉过呢，都活在自我感动的梦里挺好的。,30,13,1
卡夫不卡,2023/3/30 22:02,最后这个造谣的人只是为了九块钱，处罚也很轻，我很喜欢这个结局，因为这就是现实，还很喜欢的一个细节是在尘埃落定后，蹭魏平安流量的人依然在蹭流量。虽然这个片子依然在塑造一个完美受害者，但它至少填补了这类电影的缺口，可惜不管是电影和现实都无解，一个女生被造谣，除了去拼命证明自己的清白，还能怎么办。缺点大概是后半段元素太多有点混乱，以及女儿校园暴力那条线再拍详细一点就好了，有残缺的片子，但我愿意包容这些缺点。作为喜剧也是比较优秀的，全场一起大笑的有好几次，也有不少零散的笑点，但没有下三俗，做到了喜剧的底色是悲剧，但悲的也很含蓄，轻拿轻放。,40,66,1
全麦兔司,2023/3/12 2:23,逼良为娼，劝鸡从良，无聊又自恋的男凝救世主视角。穿草原，跳火车，自以为是的帮一个已经去世的女人证明她是个好女人。,20,120,0
松崎海,2023/3/16 12:06,"无法真正喜欢的地方在于，为何女性还要带着贞操锁，为何必须证明清白，就是坐台女又如何？哪里不高尚吗？
这次反抗也是一种屈从的反抗。",30,52,1
依搦斯Agnes,2023/3/8 22:10,2.5。你可以永远不相信大鹏。看似是个好的立意但一些刻板的东西让我有些不舒服。,20,138,0
银敏悲,2022/12/24 13:45,撤档前赶上点映看了，前期说是口碑爆棚，调好了预期，但看完大失所望，真的那么好笑好看吗？我们可能看的不是同一部电影。觉得自己有搞头就想去春节档冲票房了吧。,20,113,0
?????,2023/3/5 17:10,做个slut吧，去他爹的公序良俗和贞洁清纯，你能拿来攻击我的，本就不是我在乎的东西（女性的“百口莫辩”本就是父权社会下被迫立贞节牌坊的必然结果，这个电影把女性普遍的“性失语”仅仅归咎于外人隔岸观火，算是比较成功地转移了核心矛盾…,30,70,1
Imperfections,2023/3/5 9:14,警惕電影院的迷魂湯效，沈浸式追隨魏平安視覺會讓你忽略一些（或許也致命）的缺陷，就他追討死者清白這事，就是讓妓女與非妓女（更高等，更正義）劃清界線，皮肉就是辱名，就連在墓地了都不能跟愛人比鄰。流言的反應是肯定了社會依舊持有同樣的觀念。另一點是馬總對弟弟奇怪的懷疑態度，知道他們的戀人關係但她真就信了，還搞移墓？她的作用是帶公權力介入，找骨灰盒的警察圍堵火車站、目擊最初造謠者落網並給予裁決，付諸法律是許多這類影片的結局：天真。用一個高中肄業蹲過大牢、只能在陵園工作但活得趾高氣揚的人做主角，因為他不需要考慮太多事，他的思想不複雜，沒有被教育和上層階級擾亂，還保留著初中時代認的死理：信心安。理想化的追（真就能找到傳謠的、還一人牽帶一人）終於意識化的神靈馬（草原），兩段後插彩蛋不定實際發生-婚禮是假的。,30,70,1
黑猫坏笑,2023/3/11 7:04,如果韩露是男的，有人在网上造谣说他是鸭子和他睡过有人会信吗？会有人这样造谣吗？需要费那么大劲去证明所谓的“清白”吗？别太厌女,20,74,0
东门捷径小V,2023/3/4 16:38,救风尘之《她不是小姐》，喜剧技巧越发熟练，网感和地气儿都接到位了，奈何内核还是那股熟悉的爹味，都到最后了还要补一幕年轻时开着大奔的自己请贫穷少女喝可乐的镜头，自恋得吓人,30,63,1
19寧E,2023/3/28 22:32,好old school的价值观和一些社会热点的简单混装呈现,30,27,1
黑色潜水艇,2023/3/25 15:58,"【影院】
很聪明的电影，市场友好，又带点表达。立意停在了“其实她不是坐台小姐”，再往下的“她是坐台小姐，又怎么样”就没敢拍了。
大鹏也是个很聪明的导演，选好一个角度，把能讲清楚的先讲清楚，暂时讲不清楚的就先放放，以后再说。",40,67,1
小伊织,2023/3/15 0:48,放眼整个中国半路出家的导演，真没几个能做到一部比一部好，而且还不局限一类题材，父女线拍的很不错，终于不那么狗血了。造谣一张嘴，辟谣跑断腿。,50,75,1
晚不安,2023/3/12 23:36,大鹏是一个能在作品里不断进化的人，这点不可否认——尽管如今看来《吉祥如意》更像是一个处心积虑的“错误”，而并非其个人由内而外的电影观念的更新。回归喜剧赛道，可以发现大鹏的类型片技巧进一步强化了，他完全抛弃了早期以屎尿屁构建笑料的方式，而试图以人物的动能驱动情节，哪怕故事发展的链条算不上环环相扣，但片尾的追逐戏已然能调动情感的翻涌。作为一部足够有当下性（直播、短视频、密室）的电影，它也无奈地展现出，仗义的行径无法翻转底层的厌女逻辑，挣脱了“黄谣”的污蔑，女性依然被困在“清白”的牢笼里。,30,18,1
黄青蕉,2023/3/11 21:09,人物动机薄弱，之后一切白搭,30,26,1
fancy,2023/3/15 22:07,互联网时代，造谣似乎是一件不需要成本的事情，毁掉一个人的清白9.9的价格就够了。,40,59,1
薄荷牛奶不加糖,2023/3/12 0:48,虽然说的比较浅，但也比很多打着为女性发声的电影好很多了，是大鹏近年来最好的一部，比较有诚意的。,40,68,1
黑巡一号,2023/3/11 20:47,工整，动情，笑点不低级，这样的喜剧不值得五星吗？,50,38,1
?????,2023/3/5 17:10,做个slut吧，去他爹的公序良俗和贞洁清纯，你能拿来攻击我的，本就不是我在乎的东西（女性的“百口莫辩”本就是父权社会下被迫立贞节牌坊的必然结果，这个电影把女性普遍的“性失语”仅仅归咎于外人隔岸观火，算是比较成功地转移了核心矛盾…,30,70,1
