日期,最高温度,最低温度,天气,风向
2018-03-14 周三,23°,17°,雷阵雨,无持续风向微风
2018-03-15 周四,24°,17°,雷阵雨,无持续风向微风
2018-03-16 周五,26°,18°,多云~阴,无持续风向微风
2018-03-17 周六,26°,18°,阴,无持续风向微风
2018-03-18 周日,27°,20°,多云,南风4-5级
2018-03-19 周一,24°,14°,雷阵雨~中到大雨,无持续风向微风
2018-03-20 周二,21°,10°,多云,北风4-5级
2018-03-21 周三,21°,11°,多云,无持续风向微风
2018-03-22 周四,22°,12°,晴~多云,无持续风向微风
2018-03-23 周五,26°,14°,多云,无持续风向微风
2018-03-24 周六,25°,16°,多云,无持续风向微风
2018-03-25 周日,25°,16°,阵雨~小雨,无持续风向微风
2018-03-26 周一,26°,18°,多云,无持续风向微风
2018-03-27 周二,26°,17°,多云,无持续风向微风
2018-03-28 周三,28°,17°,多云,无持续风向微风
2018-03-29 周四,27°,18°,多云,无持续风向微风
2018-03-30 周五,26°,19°,多云,无持续风向微风
2018-03-31 周六,28°,19°,多云,无持续风向微风
2018-04-01 周日,29°,20°,多云,无持续风向微风
2018-04-02 周一,29°,20°,多云,无持续风向微风
2018-04-03 周二,29°,21°,多云,无持续风向微风
2018-04-04 周三,30°,20°,多云,无持续风向微风
2018-04-05 周四,29°,19°,多云,无持续风向微风
2018-04-06 周五,19°,13°,小雨~多云,北风4-5级
2018-04-07 周六,19°,11°,阵雨~多云,北风3-4级
2018-04-08 周日,25°,14°,多云,无持续风向微风
2018-04-09 周一,27°,16°,多云,无持续风向微风
2018-04-10 周二,28°,17°,多云,无持续风向微风
2018-04-11 周三,28°,20°,阴,无持续风向微风
2018-04-12 周四,29°,22°,多云~阴,南风3-4级
2018-04-13 周五,30°,23°,多云~阴,南风3-4级
2018-04-14 周六,28°,17°,雷阵雨,无持续风向微风
2018-04-15 周日,20°,16°,小到中雨~雷阵雨,北风4-5级
2018-04-16 周一,17°,15°,中雨~阴,无持续风向微风
2018-04-17 周二,24°,14°,多云,无持续风向微风
2018-04-18 周三,26°,18°,多云,无持续风向微风
2018-04-19 周四,27°,19°,多云,无持续风向微风
2018-04-20 周五,27°,21°,小到中雨~雷阵雨,南风3-4级
2018-04-21 周六,28°,22°,阴,南风3-4级
2018-04-22 周日,29°,22°,雷阵雨,无持续风向微风
2018-04-23 周一,27°,20°,雷阵雨~中雨,无持续风向微风
2018-04-24 周二,25°,20°,阴,无持续风向微风
2018-04-25 周三,26°,22°,阴,无持续风向微风
2018-04-26 周四,26°,21°,小到中雨~雷阵雨,无持续风向微风
2018-04-27 周五,26°,21°,小雨,无持续风向微风
2018-04-28 周六,27°,21°,多云,无持续风向微风
2018-04-29 周日,27°,22°,雷阵雨~多云,无持续风向微风
2018-04-30 周一,29°,23°,雾,无持续风向微风
2018-05-01 周二,30°,24°,雷阵雨~多云,无持续风向微风
2018-05-02 周三,30°,23°,雷阵雨,无持续风向微风
2018-05-03 周四,29°,21°,中雨~中到大雨,无持续风向微风
2018-05-04 周五,28°,22°,雷阵雨~多云,无持续风向微风
2018-05-05 周六,28°,23°,雷阵雨,无持续风向微风
2018-05-06 周日,29°,23°,小到中雨~雷阵雨,无持续风向微风
2018-05-07 周一,28°,22°,中到大雨~中雨,无持续风向微风
2018-05-08 周二,26°,21°,小到中雨~雷阵雨,无持续风向微风
2018-05-09 周三,27°,22°,中雨,无持续风向微风
2018-05-10 周四,26°,21°,中雨~小到中雨,无持续风向微风
2018-05-11 周五,28°,22°,雷阵雨,无持续风向微风
2018-05-12 周六,29°,22°,多云,无持续风向微风
2018-05-13 周日,31°,23°,小雨~多云,无持续风向微风
2018-05-14 周一,32°,24°,雷阵雨~多云,无持续风向微风
2018-05-15 周二,32°,25°,多云,无持续风向微风
2018-05-16 周三,33°,26°,多云,无持续风向微风
2018-05-17 周四,34°,25°,多云,无持续风向微风
2018-05-18 周五,33°,25°,雷阵雨~多云,无持续风向微风
2018-05-19 周六,34°,25°,多云,无持续风向微风
2018-05-20 周日,35°,27°,多云,无持续风向微风
2018-05-21 周一,35°,26°,多云,无持续风向微风
2018-05-22 周二,35°,25°,多云,无持续风向微风
2018-05-23 周三,34°,26°,多云,无持续风向微风
2018-05-24 周四,35°,27°,多云,无持续风向微风
2018-05-25 周五,34°,27°,多云,无持续风向微风
2018-05-26 周六,35°,27°,多云,无持续风向微风
2018-05-27 周日,35°,26°,多云~晴,无持续风向微风
2018-05-28 周一,36°,26°,雷阵雨~多云,无持续风向微风
2018-05-29 周二,34°,26°,雷阵雨~多云,无持续风向微风
2018-05-30 周三,35°,25°,多云,无持续风向微风
2018-05-31 周四,35°,27°,多云~雷阵雨,无持续风向微风
2018-06-01 周五,34°,25°,雷阵雨,无持续风向微风
2018-06-02 周六,33°,26°,中雨~多云,无持续风向微风
2018-06-03 周日,33°,26°,雷阵雨,无持续风向微风
2018-06-04 周一,33°,26°,雷阵雨,无持续风向微风
2018-06-05 周二,31°,24°,大雨~雷阵雨,无持续风向微风
2018-06-06 周三,30°,24°,大雨~中雨,东南风3-4级
2018-06-07 周四,28°,24°,中雨~大雨,无持续风向微风
2018-06-08 周五,28°,24°,大雨,东南风4-5级
2018-06-09 周六,31°,24°,雷阵雨,无持续风向微风
2018-06-10 周日,33°,24°,多云,无持续风向微风
2018-06-11 周一,34°,26°,多云~雷阵雨,无持续风向微风
2018-06-12 周二,30°,25°,中雨~大雨,无持续风向微风
2018-06-13 周三,28°,24°,大雨~雷阵雨,无持续风向微风
2018-06-14 周四,30°,24°,多云,无持续风向微风
2018-06-15 周五,32°,24°,多云,无持续风向微风
2018-06-16 周六,31°,25°,多云,无持续风向微风
2018-06-17 周日,30°,25°,雷阵雨,无持续风向微风
2018-06-18 周一,33°,26°,雷阵雨~多云,无持续风向微风
2018-06-19 周二,33°,26°,雷阵雨,无持续风向微风
2018-06-20 周三,33°,27°,雷阵雨,无持续风向微风
2018-06-21 周四,33°,27°,雷阵雨,无持续风向微风
2018-06-22 周五,30°,26°,大雨~中雨,无持续风向微风
2018-06-23 周六,31°,25°,大雨~雷阵雨,无持续风向微风
2018-06-24 周日,31°,26°,中雨~雷阵雨,南风3-4级
2018-06-25 周一,33°,26°,雷阵雨,无持续风向微风
2018-06-26 周二,33°,25°,雷阵雨~多云,无持续风向微风
2018-06-27 周三,33°,25°,多云,无持续风向微风
2018-06-28 周四,35°,26°,多云,无持续风向微风
2018-06-29 周五,34°,26°,多云,无持续风向微风
2018-06-30 周六,35°,26°,雷阵雨,无持续风向微风
2018-07-01 周日,33°,26°,雷阵雨,无持续风向微风
2018-07-02 周一,34°,27°,雷阵雨,无持续风向微风
2018-07-03 周二,33°,26°,雷阵雨,无持续风向微风
2018-07-04 周三,34°,26°,雷阵雨,无持续风向微风
2018-07-05 周四,34°,26°,阴,无持续风向微风
2018-07-06 周五,34°,27°,雷阵雨,无持续风向微风
2018-07-07 周六,32°,27°,雷阵雨,无持续风向微风
2018-07-08 周日,32°,26°,雷阵雨,无持续风向微风
2018-07-09 周一,33°,26°,雷阵雨~多云,无持续风向微风
2018-07-10 周二,35°,27°,晴~多云,无持续风向微风
2018-07-11 周三,36°,26°,多云,无持续风向微风
2018-07-12 周四,35°,26°,雷阵雨,无持续风向微风
2018-07-13 周五,31°,27°,中雨~雷阵雨,无持续风向微风
2018-07-14 周六,29°,23°,中雨,无持续风向微风
2018-07-15 周日,31°,25°,中雨,东风4-5级
2018-07-16 周一,31°,26°,雷阵雨~多云,无持续风向微风
2018-07-17 周二,34°,26°,多云~雷阵雨,无持续风向微风
2018-07-18 周三,33°,25°,雷阵雨~多云,无持续风向微风
2018-07-19 周四,33°,25°,雷阵雨,无持续风向微风
2018-07-20 周五,35°,27°,多云,无持续风向微风
2018-07-21 周六,34°,26°,雷阵雨~多云,无持续风向微风
2018-07-22 周日,34°,26°,雷阵雨,无持续风向微风
2018-07-23 周一,32°,25°,大雨~雷阵雨,无持续风向微风
2018-07-24 周二,30°,25°,大雨~雷阵雨,东南风3-4级
2018-07-25 周三,31°,25°,雷阵雨,无持续风向微风
2018-07-26 周四,33°,26°,雷阵雨,无持续风向微风
2018-07-27 周五,33°,24°,雷阵雨,无持续风向微风
2018-07-28 周六,33°,25°,雷阵雨~多云,无持续风向微风
2018-07-29 周日,34°,26°,多云,无持续风向微风
2018-07-30 周一,35°,26°,雷阵雨~多云,无持续风向微风
2018-07-31 周二,35°,26°,雷阵雨,无持续风向微风
2018-08-01 周三,34°,26°,雷阵雨~阴,无持续风向微风
2018-08-02 周四,34°,26°,雷阵雨,无持续风向微风
2018-08-03 周五,33°,25°,雷阵雨,无持续风向微风
2018-08-04 周六,34°,26°,多云,无持续风向微风
2018-08-05 周日,34°,25°,多云,无持续风向微风
2018-08-06 周一,34°,26°,雷阵雨,无持续风向微风
2018-08-07 周二,35°,25°,雷阵雨~多云,无持续风向微风
2018-08-08 周三,35°,25°,多云,无持续风向微风
2018-08-09 周四,34°,24°,雷阵雨,无持续风向微风
2018-08-10 周五,32°,25°,中雨,无持续风向微风
2018-08-11 周六,31°,25°,大雨,东风4-5级
2018-08-12 周日,29°,25°,暴雨~雷阵雨,东风3-4级
2018-08-13 周一,32°,26°,雷阵雨,东风4-5级
2018-08-14 周二,31°,24°,雷阵雨,东风3-4级
2018-08-15 周三,31°,25°,雷阵雨,东风3-4级
2018-08-16 周四,31°,25°,中雨~雷阵雨,无持续风向微风
2018-08-17 周五,32°,25°,中雨,无持续风向微风
2018-08-18 周六,32°,26°,雷阵雨,无持续风向微风
2018-08-19 周日,32°,25°,中雨~多云,无持续风向微风
2018-08-20 周一,32°,26°,中雨~雷阵雨,无持续风向微风
2018-08-21 周二,33°,25°,多云~雷阵雨,无持续风向微风
2018-08-22 周三,34°,25°,雷阵雨,无持续风向微风
2018-08-23 周四,34°,25°,中雨~雷阵雨,无持续风向微风
2018-08-24 周五,34°,25°,雷阵雨,无持续风向微风
2018-08-25 周六,35°,25°,雷阵雨~阴,无持续风向微风
2018-08-26 周日,33°,24°,雷阵雨,无持续风向微风
2018-08-27 周一,32°,25°,雷阵雨,无持续风向微风
2018-08-28 周二,29°,24°,中雨,无持续风向微风
2018-08-29 周三,28°,25°,中雨~大雨,无持续风向微风
2018-08-30 周四,30°,25°,暴雨~雷阵雨,无持续风向微风
2018-08-31 周五,30°,25°,中雨,无持续风向微风
2018-09-01 周六,30°,25°,中雨~雷阵雨,无持续风向微风
2018-09-02 周日,31°,25°,雷阵雨,无持续风向微风
2018-09-03 周一,32°,26°,雷阵雨~多云,无持续风向微风
2018-09-04 周二,34°,25°,雷阵雨~多云,无持续风向微风
2018-09-05 周三,33°,25°,雷阵雨,无持续风向微风
2018-09-06 周四,33°,25°,雷阵雨~中雨,无持续风向微风
2018-09-07 周五,32°,24°,中雨,无持续风向微风
2018-09-08 周六,29°,23°,雷阵雨,北风4-5级
2018-09-09 周日,31°,23°,多云,无持续风向微风
2018-09-10 周一,33°,24°,多云,无持续风向微风
2018-09-11 周二,32°,24°,多云,无持续风向微风
2018-09-12 周三,32°,25°,雷阵雨~多云,无持续风向微风
2018-09-13 周四,31°,25°,雷阵雨~多云,无持续风向微风
2018-09-14 周五,35°,26°,多云,无持续风向微风
2018-09-15 周六,35°,25°,多云~阴,北风4-5级
2018-09-16 周日,27°,23°,暴雨~大雨,东风8-9级
2018-09-17 周一,28°,24°,大雨~雷阵雨,东南风4-5级
2018-09-18 周二,32°,24°,雷阵雨~阴,无持续风向微风
2018-09-19 周三,34°,25°,多云,无持续风向微风
2018-09-20 周四,33°,24°,雷阵雨,无持续风向微风
2018-09-21 周五,34°,24°,雷阵雨~多云,无持续风向微风
2018-09-22 周六,33°,24°,阴~雷阵雨,无持续风向微风
2018-09-23 周日,32°,24°,阴~多云,无持续风向微风
2018-09-24 周一,31°,24°,雷阵雨,无持续风向微风
2018-09-25 周二,31°,24°,多云,无持续风向微风
2018-09-26 周三,32°,24°,雷阵雨~多云,无持续风向微风
2018-09-27 周四,32°,24°,多云,无持续风向微风
2018-09-28 周五,31°,23°,多云,无持续风向微风
2018-09-29 周六,30°,23°,多云,无持续风向微风
2018-09-30 周日,31°,20°,多云,无持续风向微风
2018-10-01 周一,30°,20°,多云~晴,无持续风向微风
2018-10-02 周二,30°,18°,多云~晴,无持续风向微风
2018-10-03 周三,30°,19°,晴,无持续风向微风
2018-10-04 周四,29°,20°,晴,北风3-4级
2018-10-05 周五,30°,20°,晴,无持续风向微风
2018-10-06 周六,31°,20°,晴,无持续风向微风
2018-10-07 周日,30°,19°,晴,无持续风向微风
2018-10-08 周一,29°,20°,晴~多云,无持续风向微风
2018-10-09 周二,31°,20°,多云,无持续风向微风
2018-10-10 周三,28°,19°,小雨,北风3-4级
2018-10-11 周四,25°,19°,多云,无持续风向微风
2018-10-12 周五,27°,19°,多云,无持续风向微风
2018-10-13 周六,27°,20°,多云,无持续风向微风
2018-10-14 周日,27°,21°,小雨,无持续风向微风
2018-10-15 周一,25°,20°,中雨~小雨,无持续风向微风
2018-10-16 周二,25°,19°,中雨~雷阵雨,无持续风向微风
2018-10-17 周三,25°,19°,小雨~阴,无持续风向微风
2018-10-18 周四,24°,20°,多云,无持续风向微风
2018-10-19 周五,25°,20°,阴~多云,无持续风向微风
2018-10-20 周六,26°,20°,多云,无持续风向微风
2018-10-21 周日,27°,20°,多云,无持续风向微风
2018-10-22 周一,28°,21°,阴,无持续风向微风
2018-10-23 周二,27°,19°,多云,无持续风向微风
2018-10-24 周三,27°,22°,多云,无持续风向微风
2018-10-25 周四,27°,20°,多云,无持续风向微风
2018-10-26 周五,28°,19°,小雨~多云,无持续风向微风
2018-10-27 周六,25°,15°,多云~晴,无持续风向微风
2018-10-28 周日,26°,16°,晴,无持续风向微风
2018-10-29 周一,28°,16°,晴,无持续风向微风
2018-10-30 周二,28°,17°,晴,北风3-4级
2018-10-31 周三,27°,17°,晴~多云,北风4-5级
2018-11-01 周四,26°,17°,阵雨,北风5-6级
2018-11-02 周五,24°,17°,多云~阵雨,北风4-5级
2018-11-03 周六,27°,17°,多云,无持续风向微风
2018-11-04 周日,27°,20°,多云,无持续风向微风
2018-11-05 周一,27°,20°,多云,无持续风向微风
2018-11-06 周二,28°,19°,阴~多云,无持续风向微风
2018-11-07 周三,28°,19°,小雨~多云,无持续风向微风
2018-11-08 周四,26°,17°,多云,无持续风向微风
2018-11-09 周五,25°,19°,阴,无持续风向微风
2018-11-10 周六,26°,20°,多云,无持续风向微风
2018-11-11 周日,27°,20°,多云~阴,无持续风向微风
2018-11-12 周一,26°,17°,多云,无持续风向微风
2018-11-13 周二,26°,19°,多云~雾,无持续风向微风
2018-11-14 周三,27°,20°,多云,无持续风向微风
2018-11-15 周四,28°,21°,小雨,无持续风向微风
2018-11-16 周五,26°,19°,小雨~小到中雨,无持续风向微风
2018-11-17 周六,24°,18°,小雨,无持续风向微风
2018-11-18 周日,25°,16°,小雨,无持续风向微风
2018-11-19 周一,22°,17°,小雨~阴,无持续风向微风
2018-11-20 周二,25°,18°,多云~小雨,无持续风向微风
2018-11-21 周三,21°,14°,小雨,东北风3级
2018-11-22 周四,19°,11°,晴,东北风3级
2018-11-23 周五,23°,14°,多云,东北风2级
2018-11-24 周六,24°,14°,晴~多云,东北风2级
2018-11-25 周日,24°,16°,多云~阴,东北风2级
2018-11-26 周一,23°,15°,多云,东北风2级
2018-11-27 周二,22°,16°,阴,东北风2级
2018-11-28 周三,22°,13°,阴~多云,东北风2级
2018-11-29 周四,25°,16°,多云~阴,东北风2级
2018-11-30 周五,26°,16°,多云~阴,东南风2级
2018-12-01 周六,24°,16°,多云,东北风2级
2018-12-02 周日,26°,20°,多云,东南风2级
2018-12-03 周一,26°,19°,阴,东南风1级
2018-12-04 周二,28°,17°,多云,东北风1级
2018-12-05 周三,25°,18°,多云~小雨,东北风2级
2018-12-06 周四,25°,14°,小雨~阴,东北风2级
2018-12-07 周五,18°,11°,小雨,东北风3级
2018-12-08 周六,15°,10°,阴~小雨,东北风3级
2018-12-09 周日,13°,8°,小雨,东北风3级
2018-12-10 周一,14°,9°,阴~阵雨,北风2级
2018-12-11 周二,14°,8°,小雨,西北风3级
2018-12-12 周三,13°,10°,小雨~多云,西北风3级
2018-12-13 周四,13°,9°,多云,东北风2级
2018-12-14 周五,17°,11°,多云,东北风2级
2018-12-15 周六,20°,12°,多云,东北风2级
2018-12-16 周日,20°,11°,小雨~多云,西北风3级
2018-12-17 周一,20°,10°,多云,东北风3级
2018-12-18 周二,20°,12°,多云~阴,东北风2级
2018-12-19 周三,22°,16°,多云,东南风1级
2018-12-20 周四,25°,18°,阴~多云,东南风2级
2018-12-21 周五,27°,18°,多云,东南风2级
2018-12-22 周六,27°,16°,多云,东北风2级
2018-12-23 周日,22°,13°,阴,东北风3级
2018-12-24 周一,20°,16°,阴,东北风2级
2018-12-25 周二,21°,15°,阴,东北风1级
2018-12-26 周三,22°,12°,多云,东北风2级
2018-12-27 周四,22°,12°,多云~阴,东北风3级
2018-12-28 周五,18°,7°,多云,东北风3级
2018-12-29 周六,11°,4°,多云,东北风3级
2018-12-30 周日,11°,5°,阴,东北风3级
2018-12-31 周一,11°,6°,阴~多云,东北风3级
2019-01-01 周二,12°,7°,阴~小雨,北风3级
2019-01-02 周三,11°,9°,小雨,东北风3级
2019-01-03 周四,13°,11°,阴~阵雨,西北风2级
2019-01-04 周五,19°,15°,阵雨~阴,西北风2级
2019-01-05 周六,19°,12°,阵雨~阴,东北风2级
2019-01-06 周日,17°,12°,阴,东北风2级
2019-01-07 周一,19°,12°,阴~小雨,西北风2级
2019-01-08 周二,16°,13°,阴,东北风3级
2019-01-09 周三,19°,13°,阴~小雨,东北风2级
2019-01-10 周四,20°,16°,小雨,东北风2级
2019-01-11 周五,21°,15°,小雨,西北风2级
2019-01-12 周六,22°,15°,阴,西北风2级
2019-01-13 周日,21°,16°,阴,西北风2级
2019-01-14 周一,23°,17°,阴,东北风2级
2019-01-15 周二,19°,11°,阵雨~小雨,东北风2级
2019-01-16 周三,16°,9°,阴~多云,东北风3级
2019-01-17 周四,18°,9°,多云,东北风3级
2019-01-18 周五,20°,10°,多云~阴,东北风2级
2019-01-19 周六,20°,15°,多云~小雨,东南风1级
2019-01-20 周日,21°,11°,阴,东北风2级
2019-01-21 周一,18°,8°,多云,东北风3级
2019-01-22 周二,19°,6°,晴,东北风3级
2019-01-23 周三,19°,8°,晴,东北风2级
2019-01-24 周四,22°,10°,晴,东南风2级
2019-01-25 周五,22°,13°,多云,东北风2级
2019-01-26 周六,22°,10°,晴,东北风3级
2019-01-27 周日,23°,11°,晴,东北风2级
2019-01-28 周一,23°,11°,多云~晴,东南风2级
2019-01-29 周二,24°,13°,阴,东南风1级
2019-01-30 周三,25°,15°,多云~阴,东南风2级
2019-01-31 周四,24°,12°,多云~阴,东北风2级
2019-02-01 周五,19°,13°,阴~小雨,东北风3级
2019-02-02 周六,21°,16°,多云,东南风2级
2019-02-03 周日,24°,17°,小雨~多云,东南风1级
2019-02-04 周一,26°,17°,多云,东北风2级
2019-02-05 周二,26°,18°,小雨,东南风2级
2019-02-06 周三,26°,19°,小雨,东南风3级
2019-02-07 周四,27°,20°,多云,东南风3级
2019-02-08 周五,27°,19°,小雨,东南风3级
2019-02-09 周六,21°,16°,小雨,东北风3级
2019-02-10 周日,22°,14°,小雨,东北风2级
2019-02-11 周一,18°,14°,多云,东北风2级
2019-02-12 周二,21°,16°,多云,东北风2级
2019-02-13 周三,24°,18°,多云~阴,东北风1级
2019-02-14 周四,24°,18°,小雨,东南风2级
2019-02-15 周五,26°,17°,小雨,东南风2级
2019-02-16 周六,25°,18°,小雨,东南风1级
2019-02-17 周日,22°,17°,小雨,东北风2级
2019-02-18 周一,18°,14°,大雨~小雨,东北风2级
2019-02-19 周二,20°,18°,小雨,东北风2级
2019-02-20 周三,24°,18°,小雨,东南风3级
2019-02-21 周四,26°,12°,雷阵雨~小雨,东南风3级
2019-02-22 周五,18°,11°,阴~小雨,东北风3级
2019-02-23 周六,15°,10°,小雨,东北风3级
2019-02-24 周日,14°,12°,阴~多云,东北风2级
2019-02-25 周一,19°,15°,小雨,东北风2级
2019-02-26 周二,18°,15°,小雨,东北风1级
2019-02-27 周三,21°,16°,小雨,东南风2级
2019-02-28 周四,23°,17°,阴,东北风1级
2019-03-01 周五,23°,17°,小雨,东南风2级
2019-03-02 周六,25°,15°,多云~小雨,东南风3级
2019-03-03 周日,21°,13°,雷阵雨~阴,西北风3级
2019-03-04 周一,23°,15°,小雨~中雨,东南风3级
2019-03-05 周二,24°,16°,中雨,东南风3级
2019-03-06 周三,19°,15°,中雨,东北风3级
2019-03-07 周四,16°,13°,大雨~中雨,东北风3级
2019-03-08 周五,15°,12°,小雨,东北风2级
2019-03-09 周六,18°,13°,中雨~小雨,东北风2级
2019-03-10 周日,17°,12°,小雨~多云,西北风3级
2019-03-11 周一,22°,13°,多云,东北风2级
2019-03-12 周二,24°,14°,多云,东南风2级
2019-03-13 周三,26°,17°,多云~小雨,东南风2级
2019-03-14 周四,21°,15°,阵雨,东北风2级
2019-03-15 周五,21°,16°,阴~多云,东北风2级
2019-03-16 周六,23°,14°,多云~阴,东北风2级
2019-03-17 周日,24°,18°,多云~阴,东南风1级
2019-03-18 周一,25°,19°,小雨,东南风1级
2019-03-19 周二,26°,20°,多云,东南风2级
2019-03-20 周三,28°,21°,多云,东南风3级
2019-03-21 周四,28°,19°,多云~雷阵雨,东南风3级
2019-03-22 周五,24°,15°,雷阵雨~中雨,东南风2级
2019-03-23 周六,19°,15°,小雨,东北风3级
2019-03-24 周日,18°,14°,雷阵雨~中雨,东北风2级
2019-03-25 周一,19°,14°,中雨~多云,西北风2级
2019-03-26 周二,24°,17°,阴~多云,东南风2级
2019-03-27 周三,26°,19°,多云,东南风2级
2019-03-28 周四,27°,21°,多云~阴,西南风2级
2019-03-29 周五,26°,20°,中雨~阴,西南风2级
2019-03-30 周六,27°,18°,多云~小雨,东南风2级
2019-03-31 周日,24°,16°,雷阵雨~小雨,东南风3级
2019-04-01 周一,22°,17°,小雨~阴,东北风2级
2019-04-02 周二,25°,19°,阴~多云,东南风2级
2019-04-03 周三,26°,18°,多云~雷阵雨,东南风2级
2019-04-04 周四,26°,19°,小雨~雷阵雨,东北风1级
2019-04-05 周五,27°,20°,多云,西北风2级
2019-04-06 周六,28°,21°,多云,西南风2级
2019-04-07 周日,28°,22°,多云~阴,西南风2级
2019-04-08 周一,30°,23°,阴,南风3级
2019-04-09 周二,31°,23°,多云,东南风3级
2019-04-10 周三,30°,22°,雷阵雨,西南风3级
2019-04-11 周四,29°,19°,中雨~雷阵雨,东南风2级
2019-04-12 周五,24°,19°,雷阵雨~中雨,东北风2级
2019-04-13 周六,21°,16°,大雨~中雨,东南风2级
2019-04-14 周日,23°,18°,大雨~雷阵雨,东南风2级
2019-04-15 周一,24°,19°,雷阵雨,东北风2级
2019-04-16 周二,23°,20°,大雨~阴,东北风1级
2019-04-17 周三,27°,20°,阴~阵雨,东南风2级
2019-04-18 周四,25°,21°,暴雨~大雨,东南风3级
2019-04-19 周五,25°,22°,暴雨~中雨,东南风3级
2019-04-20 周六,28°,21°,大雨~雷阵雨,东南风3级
2019-04-21 周日,28°,25°,大雨~雷阵雨,东南风3级
2019-04-22 周一,29°,24°,雷阵雨,东南风3级
2019-04-23 周二,30°,24°,多云,西南风3级
2019-04-24 周三,32°,25°,多云~雷阵雨,西南风3级
2019-04-25 周四,30°,22°,大雨~雷阵雨,西南风3级
2019-04-26 周五,29°,23°,大雨~中雨,西南风2级
2019-04-27 周六,28°,23°,大雨~雷阵雨,东南风3级
